"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";1931;1345;1111;359;126;83;67;47;26;49;215;665;6024
"12 Acre";1456;487;186;50;17;15;10;5;-;6;25;259;2516
"13 Amazonas";76;108;181;210;185;115;58;33;10;3;15;17;1011
"14 Roraima";90;147;211;193;327;830;362;102;26;19;44;23;2374
"15 Pará";896;1478;1476;716;578;366;257;323;366;470;633;557;8116
"16 Amapá";181;390;549;373;321;160;148;162;99;50;74;51;2558
"17 Tocantins";443;583;492;433;654;332;113;56;22;16;78;145;3367
"21 Maranhão";321;590;994;779;1313;993;808;364;201;84;89;71;6607
"22 Piauí";182;260;514;496;708;979;706;414;115;70;59;18;4521
"23 Ceará";1189;1463;1209;1244;2447;3665;6085;4944;2372;993;937;697;27245
"24 Rio Grande do Norte";265;331;613;601;675;522;515;536;310;196;146;112;4822
"25 Paraíba";180;378;890;1404;1076;651;492;355;241;125;109;124;6025
"26 Pernambuco";74;137;284;1302;1311;733;607;343;257;176;173;112;5509
"27 Alagoas";83;323;264;288;395;285;275;230;172;143;112;78;2648
"28 Sergipe";11;21;64;57;77;119;108;51;33;30;53;33;657
"29 Bahia";819;1715;4797;4733;3018;978;463;313;257;248;309;387;18037
"31 Minas Gerais";253;785;2129;3286;2299;783;210;164;78;135;384;614;11120
"32 Espírito Santo";153;351;489;475;517;314;134;85;47;79;44;31;2719
"33 Rio de Janeiro";116;94;59;64;44;44;46;99;75;104;167;330;1242
"35 São Paulo";149;327;910;1443;1333;949;437;164;83;80;195;202;6272
"41 Paraná";45;57;258;373;181;79;20;18;2;5;10;16;1064
"42 Santa Catarina";5;8;7;5;8;4;3;2;3;2;-;2;49
"43 Rio Grande do Sul";11;6;3;3;8;4;3;4;-;-;-;2;44
"50 Mato Grosso do Sul";13;53;155;171;86;68;18;11;10;7;8;22;622
"51 Mato Grosso";531;987;1227;1070;648;366;136;68;79;229;852;647;6840
"52 Goiás";702;1587;2939;4277;3326;1467;446;350;284;578;1141;1530;18627
"53 Distrito Federal";37;47;68;68;50;27;47;17;8;14;10;17;410
"00 Ignorado/exterior";-;-;-;1;-;-;-;-;-;-;-;-;1
"Total";10212;14058;22079;24474;21728;14931;12574;9260;5176;3911;5882;6762;151047
&
