"UF de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;262;297;372;296;287;292;211;177;90;169;306;434;3193
"12 Acre";-;394;375;202;118;85;52;45;35;40;107;289;514;2256
"13 Amazonas";-;918;1217;420;213;205;256;296;195;208;282;436;702;5348
"14 Roraima";-;146;100;261;173;262;196;163;254;112;62;66;50;1845
"15 Pará";-;2579;3130;3096;1748;1062;706;714;858;568;422;776;668;16327
"16 Amapá";-;36;50;37;44;56;58;98;271;341;264;203;75;1533
"17 Tocantins";-;1735;2186;2195;1920;1324;560;336;171;125;227;373;637;11789
"21 Maranhão";-;579;793;1108;759;638;443;285;240;156;92;55;121;5269
"22 Piauí";-;651;799;1347;2710;3602;1448;753;430;183;127;129;146;12325
"23 Ceará";-;1958;2495;4927;10849;24342;6225;1882;757;402;319;378;456;54990
"24 Rio Grande do Norte";-;1172;1738;3762;6232;5633;3018;2120;1244;529;353;390;450;26641
"25 Paraíba";-;122;208;703;1652;1920;1180;1018;888;394;230;131;131;8577
"26 Pernambuco";2;3566;5358;7839;6322;3314;1501;1233;560;270;265;285;578;31093
"27 Alagoas";-;1341;1582;3523;5427;5193;2900;2705;2038;1199;557;515;505;27485
"28 Sergipe";-;434;586;748;969;699;399;313;170;107;88;43;65;4621
"29 Bahia";-;3461;4944;9520;10428;8267;3700;2456;1447;833;700;1023;1437;48216
"31 Minas Gerais";-;2289;2548;3858;4750;3870;2518;1231;657;551;679;1173;5818;29942
"32 Espírito Santo";-;911;786;942;1102;991;952;832;567;582;720;907;2155;11447
"33 Rio de Janeiro";-;8323;14444;32348;48134;41187;18047;5238;2935;1550;1351;1786;3072;178415
"35 São Paulo";-;1693;3016;5868;7270;4474;1827;651;377;259;483;847;1320;28085
"41 Paraná";-;157;366;932;940;624;169;61;58;43;78;197;929;4554
"42 Santa Catarina";-;15;17;16;19;12;4;3;2;-;2;2;1;93
"43 Rio Grande do Sul";-;22;17;36;31;20;7;2;2;-;1;7;10;155
"50 Mato Grosso do Sul";-;534;579;888;1445;845;434;197;126;207;252;1071;2625;9203
"51 Mato Grosso";2;1760;3093;5370;5863;5221;2687;1801;1066;560;959;1787;2648;32817
"52 Goiás";-;2365;2446;2525;2569;2863;2064;1243;952;997;1296;1818;2675;23813
"53 Distrito Federal";-;164;159;242;247;257;170;143;91;72;67;75;125;1812
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";4;37587;53329;93085;122230;117253;51813;26030;16568;10378;10152;15068;28347;581844
&
