"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";374;299;243;98;56;41;29;32;38;107;698;1152;3167
"12 Acre";85;134;47;26;61;50;44;40;95;397;1998;1481;4458
"13 Amazonas";127;160;134;111;119;55;66;45;18;23;40;34;932
"14 Roraima";59;42;29;15;26;15;24;42;70;67;95;85;569
"15 Pará";1656;1174;830;379;292;172;160;195;167;201;259;376;5861
"16 Amapá";209;238;444;289;219;237;234;212;230;149;103;143;2707
"17 Tocantins";233;241;181;174;138;72;29;27;25;69;169;178;1536
"21 Maranhão";162;262;242;162;175;135;80;80;34;68;88;143;1631
"22 Piauí";86;127;169;57;52;57;55;117;62;35;42;19;878
"23 Ceará";362;644;460;254;315;452;377;387;214;176;165;102;3908
"24 Rio Grande do Norte";287;285;402;310;295;210;224;238;97;60;125;152;2685
"25 Paraíba";129;252;213;139;159;141;105;92;39;45;23;20;1357
"26 Pernambuco";270;534;465;288;193;160;126;98;59;59;60;58;2370
"27 Alagoas";191;314;606;809;876;436;370;238;166;251;159;104;4520
"28 Sergipe";61;66;67;42;46;43;29;24;26;9;13;24;450
"29 Bahia";424;718;1208;656;566;356;223;90;54;31;86;153;4565
"31 Minas Gerais";969;2341;5493;2585;1656;387;74;26;16;22;48;189;13806
"32 Espírito Santo";319;510;955;637;556;207;122;63;27;24;35;79;3534
"33 Rio de Janeiro";207;133;137;51;36;17;24;53;74;93;141;232;1198
"35 São Paulo";161;337;473;882;874;199;60;25;22;14;25;54;3126
"41 Paraná";26;20;23;44;8;2;2;3;3;5;8;16;160
"42 Santa Catarina";4;3;3;1;2;-;-;-;-;1;-;2;16
"43 Rio Grande do Sul";5;4;6;2;1;3;-;-;1;-;-;-;22
"50 Mato Grosso do Sul";99;57;35;44;46;10;6;5;3;3;5;16;329
"51 Mato Grosso";483;396;345;239;133;73;29;15;12;130;274;330;2459
"52 Goiás";866;1185;1227;896;628;223;103;67;63;85;179;278;5800
"53 Distrito Federal";65;79;50;28;16;7;11;5;4;9;3;5;282
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";7919;10555;14487;9218;7544;3760;2606;2219;1619;2133;4841;5425;72326
&
