"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";1955;1427;408;124;62;32;17;15;13;49;84;250;4436
"12 Acre";80;38;27;19;8;10;5;2;5;7;30;39;270
"13 Amazonas";74;81;126;75;62;38;36;38;31;28;28;28;645
"14 Roraima";26;8;3;15;77;86;118;132;107;125;141;135;973
"15 Pará";1806;1125;1051;708;576;306;138;140;142;142;227;381;6742
"16 Amapá";395;356;286;123;104;61;47;57;59;104;98;121;1811
"17 Tocantins";504;668;1080;1010;999;265;91;46;140;107;367;622;5899
"21 Maranhão";351;538;478;539;706;300;303;393;266;381;322;448;5025
"22 Piauí";235;264;425;445;753;1261;540;284;134;108;74;236;4759
"23 Ceará";961;1106;1826;2839;5755;5804;4405;2652;1077;760;901;475;28561
"24 Rio Grande do Norte";193;260;403;698;1159;2010;1827;886;408;196;204;136;8380
"25 Paraíba";229;201;356;438;313;313;317;275;188;186;144;128;3088
"26 Pernambuco";412;369;827;1209;1940;1391;942;648;333;219;236;247;8773
"27 Alagoas";193;202;148;139;267;320;488;499;274;250;216;166;3162
"28 Sergipe";50;57;93;178;246;125;86;54;51;72;87;45;1144
"29 Bahia";586;731;1263;1377;1028;390;226;154;138;220;371;327;6811
"31 Minas Gerais";2706;4523;7285;7719;4738;896;186;71;77;236;637;905;29979
"32 Espírito Santo";441;1081;1762;2398;2561;845;366;199;91;104;136;118;10102
"33 Rio de Janeiro";1980;3886;7787;6863;3150;976;392;267;150;198;287;745;26681
"35 São Paulo";1460;4080;16199;25171;10266;1750;514;281;174;250;446;1041;61632
"41 Paraná";42;59;336;548;131;31;10;4;7;10;24;43;1245
"42 Santa Catarina";5;9;13;12;9;5;1;2;-;1;-;2;59
"43 Rio Grande do Sul";5;16;11;9;12;6;-;1;-;1;6;2;69
"50 Mato Grosso do Sul";160;548;2707;3680;1361;337;99;44;48;104;763;1602;11453
"51 Mato Grosso";1001;1045;1490;908;603;224;145;183;116;354;1885;1719;9673
"52 Goiás";4519;4617;4982;4694;2627;670;234;151;172;335;635;794;24430
"53 Distrito Federal";84;52;85;103;87;41;14;9;14;12;28;42;571
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";20453;27347;51457;62041;39600;18493;11547;7487;4215;4559;8377;10797;266373
&
