"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";720;639;471;229;138;120;90;48;38;66;220;253;3032
"12 Acre";231;238;151;93;46;38;17;7;8;28;48;53;958
"13 Amazonas";345;496;817;689;776;399;215;80;43;42;49;104;4055
"14 Roraima";129;109;38;9;52;125;748;1593;1346;521;212;116;4998
"15 Pará";1897;2081;1434;692;372;320;260;294;304;559;674;852;9739
"16 Amapá";58;88;112;97;194;279;650;1129;900;249;154;67;3977
"17 Tocantins";270;237;202;300;285;89;33;21;29;88;198;151;1903
"21 Maranhão";1289;1392;1190;612;503;262;208;137;87;50;72;147;5949
"22 Piauí";478;820;1847;2090;2130;1174;523;250;86;54;40;73;9565
"23 Ceará";2224;4767;5636;6051;6571;4075;1648;746;443;466;502;350;33479
"24 Rio Grande do Norte";1014;1957;3401;4309;5134;3019;933;346;192;136;142;281;20864
"25 Paraíba";1052;1436;2381;2676;2527;981;626;383;206;203;157;172;12800
"26 Pernambuco";694;1628;3643;3647;2814;1295;569;341;162;137;172;235;15337
"27 Alagoas";160;271;344;607;1335;1334;883;332;250;254;218;128;6116
"28 Sergipe";408;607;827;851;751;559;291;178;101;90;82;99;4844
"29 Bahia";3293;6710;12489;10091;5478;1783;892;438;355;379;326;413;42647
"31 Minas Gerais";1177;2615;4845;2919;1528;441;84;75;47;54;178;317;14280
"32 Espírito Santo";2872;10208;10010;3223;1518;744;232;76;74;91;119;250;29417
"33 Rio de Janeiro";1020;1310;1222;581;324;144;68;57;65;124;388;461;5764
"35 São Paulo";2453;3241;5895;3031;1526;388;132;35;21;19;29;267;17037
"41 Paraná";734;2156;5482;2191;403;36;9;4;2;4;12;47;11080
"42 Santa Catarina";17;13;12;2;3;4;1;-;-;-;1;3;56
"43 Rio Grande do Sul";15;15;8;7;5;3;2;4;-;1;2;5;67
"50 Mato Grosso do Sul";190;406;636;541;176;65;21;6;3;10;21;37;2112
"51 Mato Grosso";2503;3292;1299;406;200;96;67;43;60;144;675;804;9589
"52 Goiás";1166;1855;1655;1355;820;347;203;152;132;206;259;339;8489
"53 Distrito Federal";199;216;170;133;87;39;41;22;6;13;12;47;985
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";26608;48803;66217;47432;35696;18159;9446;6797;4960;3988;4962;6071;279139
&
