report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,87,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,19,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,266,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,93,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,551,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,4,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,265,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,285,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,25,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,764,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,167,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,67,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,15,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,67,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,969,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,463,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,197,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1504,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,136,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,27,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,7,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,15,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1299,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,1748,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,25,cases
