report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,106,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,25,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,363,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,154,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,597,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,534,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,419,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,129,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1364,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,272,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,82,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,18,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,122,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,1661,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,650,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,294,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,2124,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,206,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,31,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,34,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1894,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3406,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,45,cases
