report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,104,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,23,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,348,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,143,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,587,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,497,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,380,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,104,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1288,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,243,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,78,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,18,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,108,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,1461,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,613,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,281,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,2020,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,199,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,31,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,31,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1819,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3107,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,41,cases
