report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,101,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,22,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,334,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,123,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,583,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,452,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,350,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,81,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1239,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,230,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,73,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,17,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,104,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,1289,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,582,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,268,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1904,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,187,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,30,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,28,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1741,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,2722,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,35,cases
