report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,84,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,17,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,251,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,84,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,546,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,4,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,239,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,271,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,18,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,666,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,157,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,61,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,15,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,63,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,913,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,426,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,173,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1400,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,129,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,24,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,6,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,7,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,12,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1185,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,1627,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,22,cases
