report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,115,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,25,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,400,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,199,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,634,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,10,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,578,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,512,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,91,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1415,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,419,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,108,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,25,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,190,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,16,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,2136,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,683,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,325,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,2370,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,236,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,49,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,13,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,12,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,55,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,2053,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3795,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,51,cases
