report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,74,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,15,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,158,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,47,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,502,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,3,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,168,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,211,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,5,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,360,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,121,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,44,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,12,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,48,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,8,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,744,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,304,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,105,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,1062,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,94,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,19,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,6,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,6,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,772,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,1259,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,17,cases
