report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,394,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,28,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,1434,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,28,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,2414,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,39,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,1259,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,1328,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,12,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,485,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,1312,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,1148,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,292,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,1475,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,144,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,33009,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,8372,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,1586,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,39009,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,2042,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,412,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,36,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,66,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1025,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,18711,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3021,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,160,cases
