report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,489,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,31,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,1795,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,36,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,2915,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,52,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,1451,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,1992,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,15,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,726,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,2080,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,1576,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,321,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,2195,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,164,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,39003,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,10409,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,1803,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,46088,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,2754,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,487,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,42,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,84,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1236,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,20105,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,4618,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,197,cases
