"biweekEndDate","meanSlope","varSlope","biweek","year","location"
2016-02-24,2.41934713375796,2.99019260870522,4,2016,"Acre"
2016-03-09,2.16971276203871,3.31300896852621,5,2016,"Acre"
2016-03-23,0.671672532304428,0.461404471607438,6,2016,"Acre"
2016-04-06,1.58575919545307,1.95411075675327,7,2016,"Acre"
2016-04-20,1.37219760017071,1.57198306451167,8,2016,"Acre"
2016-05-04,0.79396482813749,0.675980680042624,9,2016,"Acre"
2016-05-18,2.5016823224919,3.87804398214928,10,2016,"Acre"
2016-06-01,2.22805387645327,3.28221051401086,11,2016,"Acre"
2016-06-15,0.903481218291512,0.380236045417307,12,2016,"Acre"
2016-06-29,0,0,13,2016,"Acre"
2016-07-13,NA,NA,14,2016,"Acre"
2016-07-27,NA,NA,15,2016,"Acre"
2016-08-10,NA,NA,16,2016,"Acre"
2016-08-24,1.22221672897875,0.194748265136174,17,2016,"Acre"
2016-09-07,0,0,18,2016,"Acre"
2016-09-21,NA,NA,19,2016,"Acre"
2016-10-05,0.888888888888889,1.04575163398693,20,2016,"Acre"
2016-10-19,0.0192107995846314,0.0151443233222579,21,2016,"Acre"
2016-11-02,1.07407407407407,0.917378917378917,22,2016,"Acre"
2016-11-16,1.4940589569161,1.6139042562832,23,2016,"Acre"
2016-11-30,0.140398761130468,0.109402379564355,24,2016,"Acre"
2016-12-14,0.00440528634361234,0.00440528634361234,25,2016,"Acre"
2016-12-28,0,0,26,2016,"Acre"
2017-01-11,NA,NA,1,2017,"Acre"
2017-01-25,1.92712842712843,2.67084819113743,2,2017,"Acre"
2017-02-08,0,0,3,2017,"Acre"
2017-02-22,NA,NA,4,2017,"Acre"
2017-03-08,0.074824564099412,0.0376384135307276,5,2017,"Acre"
2017-03-22,1.34166666666667,1.36154870624049,6,2017,"Acre"
2017-04-05,1.27303732303732,1.54317922211608,7,2017,"Acre"
2017-04-19,1.13280263912794,1.15641801151744,8,2017,"Acre"
2017-05-03,0.502131652661064,0.407310425772193,9,2017,"Acre"
2017-05-17,0.742504409171076,0.752090850736316,10,2017,"Acre"
