"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Colombia","Amazonas","province",2015-01-04,2015-09-12,NA,18,NA,"clinical=10;lab=4;suspicious=4","EpiBulletin",""
"Chik","Colombia","Caqueta","province",2015-01-04,2015-09-12,NA,6512,NA,"clinical=6404;lab=28;suspicious=80","EpiBulletin",""
"Chik","Colombia","Guainia","province",2015-01-04,2015-09-12,NA,76,NA,"clinical=57;lab=18;suspicious=1","EpiBulletin",""
"Chik","Colombia","Guaviare","province",2015-01-04,2015-09-12,NA,1672,NA,"clinical=1644;lab=28;suspicious=0","EpiBulletin",""
"Chik","Colombia","Vaupes","province",2015-01-04,2015-09-12,NA,5,NA,"clinical=2;lab=2;suspicious=1","EpiBulletin",""
"Chik","Colombia","Putumayo","province",2015-01-04,2015-09-12,NA,476,NA,"clinical=470;lab=6;suspicious=0","EpiBulletin",""
"Chik","Colombia","Antioquia","province",2015-01-04,2015-09-12,NA,14056,NA,"clinical=13889;lab=34;suspicious=133","EpiBulletin",""
"Chik","Colombia","Bogota","province",2015-01-04,2015-09-12,NA,218,NA,"clinical=0;lab=1;suspicious=217","EpiBulletin",""
"Chik","Colombia","Caldas","province",2015-01-04,2015-09-12,NA,2861,NA,"clinical=2814;lab=21;suspicious=26","EpiBulletin",""
"Chik","Colombia","Cundinamarca","province",2015-01-04,2015-09-12,NA,16523,NA,"clinical=16289;lab=193;suspicious=41","EpiBulletin",""
"Chik","Colombia","Huila","province",2015-01-04,2015-09-12,NA,28042,NA,"clinical=27893;lab=149;suspicious=0","EpiBulletin",""
"Chik","Colombia","Quindio","province",2015-01-04,2015-09-12,NA,4975,NA,"clinical=4975;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Risaralda","province",2015-01-04,2015-09-12,NA,3162,NA,"clinical=3138;lab=24;suspicious=0","EpiBulletin",""
"Chik","Colombia","Tolima","province",2015-01-04,2015-09-12,NA,38946,NA,"clinical=38738;lab=198;suspicious=10","EpiBulletin",""
"Chik","Colombia","Boyaca","province",2015-01-04,2015-09-12,NA,744,NA,"clinical=655;lab=55;suspicious=34","EpiBulletin",""
"Chik","Colombia","Norte_Santander","province",2015-01-04,2015-09-12,NA,6079,NA,"clinical=6018;lab=46;suspicious=15","EpiBulletin",""
"Chik","Colombia","Santander","province",2015-01-04,2015-09-12,NA,9966,NA,"clinical=9863;lab=14;suspicious=89","EpiBulletin",""
"Chik","Colombia","Arauca","province",2015-01-04,2015-09-12,NA,5423,NA,"clinical=5413;lab=10;suspicious=0","EpiBulletin",""
"Chik","Colombia","Casanare","province",2015-01-04,2015-09-12,NA,15490,NA,"clinical=15437;lab=53;suspicious=0","EpiBulletin",""
"Chik","Colombia","Meta","province",2015-01-04,2015-09-12,NA,19101,NA,"clinical=18928;lab=69;suspicious=104","EpiBulletin",""
"Chik","Colombia","Vichada","province",2015-01-04,2015-09-12,NA,257,NA,"clinical=233;lab=24;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cauca","province",2015-01-04,2015-09-12,NA,3715,NA,"clinical=3625;lab=30;suspicious=60","EpiBulletin",""
"Chik","Colombia","Choco","province",2015-01-04,2015-09-12,NA,977,NA,"clinical=890;lab=19;suspicious=68","EpiBulletin",""
"Chik","Colombia","Narino","province",2015-01-04,2015-09-12,NA,1333,NA,"clinical=1258;lab=36;suspicious=39","EpiBulletin",""
"Chik","Colombia","Valle","province",2015-01-04,2015-09-12,NA,113627,NA,"clinical=113534;lab=93;suspicious=0","EpiBulletin",""
"Chik","Colombia","Atlantico","province",2015-01-04,2015-09-12,NA,1726,NA,"clinical=1726;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Barranquilla","province",2015-01-04,2015-09-12,NA,5178,NA,"clinical=5178;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Bolivar","province",2015-01-04,2015-09-12,NA,525,NA,"clinical=524;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cartagena","province",2015-01-04,2015-09-12,NA,444,NA,"clinical=444;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cesar","province",2015-01-04,2015-09-12,NA,3659,NA,"clinical=3646;lab=13;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cordoba","province",2015-01-04,2015-09-12,NA,12501,NA,"clinical=12495;lab=6;suspicious=0","EpiBulletin",""
"Chik","Colombia","Guajira","province",2015-01-04,2015-09-12,NA,4479,NA,"clinical=4469;lab=10;suspicious=0","EpiBulletin",""
"Chik","Colombia","Magdalena","province",2015-01-04,2015-09-12,NA,2340,NA,"clinical=2338;lab=2;suspicious=0","EpiBulletin",""
"Chik","Colombia","San_Andres","province",2015-01-04,2015-09-12,NA,980,NA,"clinical=976;lab=1;suspicious=3","EpiBulletin",""
"Chik","Colombia","Santa_Marta","province",2015-01-04,2015-09-12,NA,1596,NA,"clinical=1591;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Sucre","province",2015-01-04,2015-09-12,NA,6747,NA,"clinical=6742;lab=5;suspicious=0","EpiBulletin",""
