"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Colombia","Amazonas","province",2015-01-04,2015-11-07,NA,18,NA,"clinical=9;lab=5;suspicious=4","EpiBulletin",""
"Chik","Colombia","Caqueta","province",2015-01-04,2015-11-07,NA,6669,NA,"clinical=6620;lab=32;suspicious=17","EpiBulletin",""
"Chik","Colombia","Guainia","province",2015-01-04,2015-11-07,NA,77,NA,"clinical=57;lab=18;suspicious=2","EpiBulletin",""
"Chik","Colombia","Guaviare","province",2015-01-04,2015-11-07,NA,1844,NA,"clinical=1816;lab=28;suspicious=0","EpiBulletin",""
"Chik","Colombia","Vaupes","province",2015-01-04,2015-11-07,NA,6,NA,"clinical=3;lab=2;suspicious=1","EpiBulletin",""
"Chik","Colombia","Putumayo","province",2015-01-04,2015-11-07,NA,714,NA,"clinical=703;lab=11;suspicious=0","EpiBulletin",""
"Chik","Colombia","Antioquia","province",2015-01-04,2015-11-07,NA,14613,NA,"clinical=14460;lab=34;suspicious=119","EpiBulletin",""
"Chik","Colombia","Bogota","province",2015-01-04,2015-11-07,NA,6,NA,"clinical=0;lab=1;suspicious=5","EpiBulletin",""
"Chik","Colombia","Caldas","province",2015-01-04,2015-11-07,NA,2995,NA,"clinical=2955;lab=23;suspicious=17","EpiBulletin",""
"Chik","Colombia","Cundinamarca","province",2015-01-04,2015-11-07,NA,17470,NA,"clinical=17244;lab=205;suspicious=21","EpiBulletin",""
"Chik","Colombia","Huila","province",2015-01-04,2015-11-07,NA,28577,NA,"clinical=28420;lab=157;suspicious=0","EpiBulletin",""
"Chik","Colombia","Quindio","province",2015-01-04,2015-11-07,NA,5588,NA,"clinical=5588;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Risaralda","province",2015-01-04,2015-11-07,NA,4745,NA,"clinical=4719;lab=26;suspicious=0","EpiBulletin",""
"Chik","Colombia","Tolima","province",2015-01-04,2015-11-07,NA,40011,NA,"clinical=39760;lab=224;suspicious=27","EpiBulletin",""
"Chik","Colombia","Boyaca","province",2015-01-04,2015-11-07,NA,802,NA,"clinical=722;lab=55;suspicious=25","EpiBulletin",""
"Chik","Colombia","Norte_Santander","province",2015-01-04,2015-11-07,NA,6157,NA,"clinical=6102;lab=50;suspicious=5","EpiBulletin",""
"Chik","Colombia","Santander","province",2015-01-04,2015-11-07,NA,11356,NA,"clinical=11257;lab=19;suspicious=80","EpiBulletin",""
"Chik","Colombia","Arauca","province",2015-01-04,2015-11-07,NA,5472,NA,"clinical=5453;lab=19;suspicious=0","EpiBulletin",""
"Chik","Colombia","Casanare","province",2015-01-04,2015-11-07,NA,15611,NA,"clinical=15540;lab=71;suspicious=0","EpiBulletin",""
"Chik","Colombia","Meta","province",2015-01-04,2015-11-07,NA,20884,NA,"clinical=20733;lab=73;suspicious=78","EpiBulletin",""
"Chik","Colombia","Vichada","province",2015-01-04,2015-11-07,NA,293,NA,"clinical=269;lab=24;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cauca","province",2015-01-04,2015-11-07,NA,3765,NA,"clinical=3729;lab=31;suspicious=5","EpiBulletin",""
"Chik","Colombia","Choco","province",2015-01-04,2015-11-07,NA,1031,NA,"clinical=959;lab=19;suspicious=53","EpiBulletin",""
"Chik","Colombia","Narino","province",2015-01-04,2015-11-07,NA,1850,NA,"clinical=1779;lab=36;suspicious=35","EpiBulletin",""
"Chik","Colombia","Valle","province",2015-01-04,2015-11-07,NA,119373,NA,"clinical=118589;lab=784;suspicious=0","EpiBulletin",""
"Chik","Colombia","Atlantico","province",2015-01-04,2015-11-07,NA,1770,NA,"clinical=1769;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Barranquilla","province",2015-01-04,2015-11-07,NA,5619,NA,"clinical=5619;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Bolivar","province",2015-01-04,2015-11-07,NA,593,NA,"clinical=592;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cartagena","province",2015-01-04,2015-11-07,NA,486,NA,"clinical=486;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cesar","province",2015-01-04,2015-11-07,NA,3719,NA,"clinical=3706;lab=13;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cordoba","province",2015-01-04,2015-11-07,NA,12559,NA,"clinical=12552;lab=7;suspicious=0","EpiBulletin",""
"Chik","Colombia","Guajira","province",2015-01-04,2015-11-07,NA,4479,NA,"clinical=4469;lab=10;suspicious=0","EpiBulletin",""
"Chik","Colombia","Magdalena","province",2015-01-04,2015-11-07,NA,2472,NA,"clinical=2470;lab=2;suspicious=0","EpiBulletin",""
"Chik","Colombia","San_Andres","province",2015-01-04,2015-11-07,NA,1224,NA,"clinical=1222;lab=1;suspicious=1","EpiBulletin",""
"Chik","Colombia","Sucre","province",2015-01-04,2015-11-07,NA,6880,NA,"clinical=6874;lab=6;suspicious=0","EpiBulletin",""
