"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Colombia","Amazonas","province",2015-01-04,2015-08-08,NA,13,NA,"clinical=6;lab=3;suspicious=4","EpiBulletin",""
"Chik","Colombia","Caqueta","province",2015-01-04,2015-08-08,NA,6193,NA,"clinical=6048;lab=26;suspicious=119","EpiBulletin",""
"Chik","Colombia","Guainia","province",2015-01-04,2015-08-08,NA,74,NA,"clinical=55;lab=18;suspicious=1","EpiBulletin",""
"Chik","Colombia","Guaviare","province",2015-01-04,2015-08-08,NA,1468,NA,"clinical=1442;lab=26;suspicious=0","EpiBulletin",""
"Chik","Colombia","Vaupes","province",2015-01-04,2015-08-08,NA,3,NA,"clinical=0;lab=0;suspicious=3","EpiBulletin",""
"Chik","Colombia","Putumayo","province",2015-01-04,2015-08-08,NA,467,NA,"clinical=461;lab=6;suspicious=0","EpiBulletin",""
"Chik","Colombia","Antioquia","province",2015-01-04,2015-08-08,NA,13347,NA,"clinical=13178;lab=34;suspicious=135","EpiBulletin",""
"Chik","Colombia","Bogota","province",2015-01-04,2015-08-08,NA,215,NA,"clinical=0;lab=1;suspicious=214","EpiBulletin",""
"Chik","Colombia","Caldas","province",2015-01-04,2015-08-08,NA,2675,NA,"clinical=2616;lab=20;suspicious=39","EpiBulletin",""
"Chik","Colombia","Cundinamarca","province",2015-01-04,2015-08-08,NA,15994,NA,"clinical=15801;lab=154;suspicious=39","EpiBulletin",""
"Chik","Colombia","Huila","province",2015-01-04,2015-08-08,NA,27528,NA,"clinical=27417;lab=111;suspicious=0","EpiBulletin",""
"Chik","Colombia","Quindio","province",2015-01-04,2015-08-08,NA,4038,NA,"clinical=4038;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Risaralda","province",2015-01-04,2015-08-08,NA,2590,NA,"clinical=2577;lab=13;suspicious=0","EpiBulletin",""
"Chik","Colombia","Tolima","province",2015-01-04,2015-08-08,NA,37743,NA,"clinical=37562;lab=170;suspicious=11","EpiBulletin",""
"Chik","Colombia","Boyaca","province",2015-01-04,2015-08-08,NA,651,NA,"clinical=566;lab=47;suspicious=38","EpiBulletin",""
"Chik","Colombia","Norte_Santander","province",2015-01-04,2015-08-08,NA,6010,NA,"clinical=5948;lab=41;suspicious=21","EpiBulletin",""
"Chik","Colombia","Santander","province",2015-01-04,2015-08-08,NA,8785,NA,"clinical=8697;lab=10;suspicious=78","EpiBulletin",""
"Chik","Colombia","Arauca","province",2015-01-04,2015-08-08,NA,5182,NA,"clinical=5177;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Casanare","province",2015-01-04,2015-08-08,NA,15023,NA,"clinical=14991;lab=31;suspicious=1","EpiBulletin",""
"Chik","Colombia","Meta","province",2015-01-04,2015-08-08,NA,18339,NA,"clinical=18176;lab=61;suspicious=102","EpiBulletin",""
"Chik","Colombia","Vichada","province",2015-01-04,2015-08-08,NA,197,NA,"clinical=173;lab=24;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cauca","province",2015-01-04,2015-08-08,NA,3559,NA,"clinical=3414;lab=28;suspicious=117","EpiBulletin",""
"Chik","Colombia","Choco","province",2015-01-04,2015-08-08,NA,880,NA,"clinical=709;lab=18;suspicious=153","EpiBulletin",""
"Chik","Colombia","Narino","province",2015-01-04,2015-08-08,NA,1172,NA,"clinical=1103;lab=34;suspicious=35","EpiBulletin",""
"Chik","Colombia","Valle","province",2015-01-04,2015-08-08,NA,109557,NA,"clinical=109479;lab=78;suspicious=0","EpiBulletin",""
"Chik","Colombia","Atlantico","province",2015-01-04,2015-08-08,NA,1688,NA,"clinical=1688;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Barranquilla","province",2015-01-04,2015-08-08,NA,4900,NA,"clinical=4900;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Bolivar","province",2015-01-04,2015-08-08,NA,517,NA,"clinical=516;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cartagena","province",2015-01-04,2015-08-08,NA,389,NA,"clinical=389;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cesar","province",2015-01-04,2015-08-08,NA,3632,NA,"clinical=3620;lab=12;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cordoba","province",2015-01-04,2015-08-08,NA,12428,NA,"clinical=12423;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Guajira","province",2015-01-04,2015-08-08,NA,4469,NA,"clinical=4461;lab=8;suspicious=0","EpiBulletin",""
"Chik","Colombia","Magdalena","province",2015-01-04,2015-08-08,NA,2045,NA,"clinical=2043;lab=2;suspicious=0","EpiBulletin",""
"Chik","Colombia","San_Andres","province",2015-01-04,2015-08-08,NA,713,NA,"clinical=709;lab=1;suspicious=3","EpiBulletin",""
"Chik","Colombia","Santa_Marta","province",2015-01-04,2015-08-08,NA,1579,NA,"clinical=1575;lab=4;suspicious=0","EpiBulletin",""
"Chik","Colombia","Sucre","province",2015-01-04,2015-08-08,NA,6658,NA,"clinical=6653;lab=5;suspicious=0","EpiBulletin",""
