"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Colombia","Tolima","province",2016-01-03,2016-02-06,NA,956,NA,"clinical=938;lab=9;suspicious=9","EpiBulletin",""
"Chik","Colombia","Valle","province",2016-01-03,2016-02-06,NA,804,NA,"clinical=803;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cundinamarca","province",2016-01-03,2016-02-06,NA,653,NA,"clinical=628;lab=5;suspicious=20","EpiBulletin",""
"Chik","Colombia","Huila","province",2016-01-03,2016-02-06,NA,517,NA,"clinical=514;lab=3;suspicious=0","EpiBulletin",""
"Chik","Colombia","Barranquilla","province",2016-01-03,2016-02-06,NA,408,NA,"clinical=408;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Santander","province",2016-01-03,2016-02-06,NA,381,NA,"clinical=376;lab=0;suspicious=5","EpiBulletin",""
"Chik","Colombia","Antioquia","province",2016-01-03,2016-02-06,NA,308,NA,"clinical=305;lab=2;suspicious=1","EpiBulletin",""
"Chik","Colombia","Meta","province",2016-01-03,2016-02-06,NA,289,NA,"clinical=264;lab=2;suspicious=23","EpiBulletin",""
"Chik","Colombia","Caqueta","province",2016-01-03,2016-02-06,NA,283,NA,"clinical=282;lab=0;suspicious=1","EpiBulletin",""
"Chik","Colombia","Risaralda","province",2016-01-03,2016-02-06,NA,171,NA,"clinical=171;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Putumayo","province",2016-01-03,2016-02-06,NA,133,NA,"clinical=133;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Quindio","province",2016-01-03,2016-02-06,NA,129,NA,"clinical=128;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Norte_Santander","province",2016-01-03,2016-02-06,NA,97,NA,"clinical=92;lab=0;suspicious=5","EpiBulletin",""
"Chik","Colombia","Cordoba","province",2016-01-03,2016-02-06,NA,90,NA,"clinical=89;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Sucre","province",2016-01-03,2016-02-06,NA,90,NA,"clinical=90;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Santa_Marta","province",2016-01-03,2016-02-06,NA,80,NA,"clinical=79;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cesar","province",2016-01-03,2016-02-06,NA,75,NA,"clinical=74;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Boyaca","province",2016-01-03,2016-02-06,NA,64,NA,"clinical=57;lab=0;suspicious=7","EpiBulletin",""
"Chik","Colombia","Atlantico","province",2016-01-03,2016-02-06,NA,62,NA,"clinical=62;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Caldas","province",2016-01-03,2016-02-06,NA,52,NA,"clinical=52;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cauca","province",2016-01-03,2016-02-06,NA,47,NA,"clinical=47;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Arauca","province",2016-01-03,2016-02-06,NA,42,NA,"clinical=41;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Casanare","province",2016-01-03,2016-02-06,NA,22,NA,"clinical=22;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Narino","province",2016-01-03,2016-02-06,NA,20,NA,"clinical=6;lab=0;suspicious=14","EpiBulletin",""
"Chik","Colombia","Bolivar","province",2016-01-03,2016-02-06,NA,18,NA,"clinical=18;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Bogota","province",2016-01-03,2016-02-06,NA,15,NA,"clinical=0;lab=0;suspicious=15","EpiBulletin",""
"Chik","Colombia","Cartagena","province",2016-01-03,2016-02-06,NA,9,NA,"clinical=9;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Magdalena","province",2016-01-03,2016-02-06,NA,7,NA,"clinical=7;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Exterior","province",2016-01-03,2016-02-06,NA,7,NA,"clinical=0;lab=0;suspicious=7","EpiBulletin",""
"Chik","Colombia","Guajira","province",2016-01-03,2016-02-06,NA,6,NA,"clinical=6;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Vichada","province",2016-01-03,2016-02-06,NA,5,NA,"clinical=5;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Guaviare","province",2016-01-03,2016-02-06,NA,5,NA,"clinical=5;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Choco","province",2016-01-03,2016-02-06,NA,5,NA,"clinical=3;lab=2;suspicious=0","EpiBulletin",""
"Chik","Colombia","Guainia","province",2016-01-03,2016-02-06,NA,4,NA,"clinical=3;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Amazonas","province",2016-01-03,2016-02-06,NA,4,NA,"clinical=3;lab=0;suspicious=1","EpiBulletin",""
"Chik","Colombia","San_Andres","province",2016-01-03,2016-02-06,NA,1,NA,"clinical=1;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Vaupes","province",2016-01-03,2016-02-06,NA,1,NA,"clinical=1;lab=0;suspicious=0","EpiBulletin",""
