"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Colombia","Amazonas","province",2015-01-04,2015-07-25,NA,13,NA,"clinical=6;lab=3;suspicious=4","EpiBulletin",""
"Chik","Colombia","Caqueta","province",2015-01-04,2015-07-25,NA,6111,NA,"clinical=5967;lab=26;suspicious=118","EpiBulletin",""
"Chik","Colombia","Guainia","province",2015-01-04,2015-07-25,NA,72,NA,"clinical=57;lab=14;suspicious=1","EpiBulletin",""
"Chik","Colombia","Guaviare","province",2015-01-04,2015-07-25,NA,1393,NA,"clinical=1367;lab=26;suspicious=0","EpiBulletin",""
"Chik","Colombia","Vaupes","province",2015-01-04,2015-07-25,NA,3,NA,"clinical=0;lab=0;suspicious=3","EpiBulletin",""
"Chik","Colombia","Putumayo","province",2015-01-04,2015-07-25,NA,449,NA,"clinical=444;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Antioquia","province",2015-01-04,2015-07-25,NA,13029,NA,"clinical=12886;lab=33;suspicious=110","EpiBulletin",""
"Chik","Colombia","Bogota","province",2015-01-04,2015-07-25,NA,214,NA,"clinical=0;lab=1;suspicious=213","EpiBulletin",""
"Chik","Colombia","Caldas","province",2015-01-04,2015-07-25,NA,2650,NA,"clinical=2594;lab=17;suspicious=39","EpiBulletin",""
"Chik","Colombia","Cundinamarca","province",2015-01-04,2015-07-25,NA,15831,NA,"clinical=15653;lab=139;suspicious=39","EpiBulletin",""
"Chik","Colombia","Huila","province",2015-01-04,2015-07-25,NA,27381,NA,"clinical=27273;lab=108;suspicious=0","EpiBulletin",""
"Chik","Colombia","Quindio","province",2015-01-04,2015-07-25,NA,3551,NA,"clinical=3551;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Risaralda","province",2015-01-04,2015-07-25,NA,2406,NA,"clinical=2396;lab=10;suspicious=0","EpiBulletin",""
"Chik","Colombia","Tolima","province",2015-01-04,2015-07-25,NA,37026,NA,"clinical=36872;lab=143;suspicious=11","EpiBulletin",""
"Chik","Colombia","Boyaca","province",2015-01-04,2015-07-25,NA,639,NA,"clinical=558;lab=43;suspicious=38","EpiBulletin",""
"Chik","Colombia","Norte_Santander","province",2015-01-04,2015-07-25,NA,5996,NA,"clinical=5935;lab=40;suspicious=21","EpiBulletin",""
"Chik","Colombia","Santander","province",2015-01-04,2015-07-25,NA,8268,NA,"clinical=8186;lab=10;suspicious=72","EpiBulletin",""
"Chik","Colombia","Arauca","province",2015-01-04,2015-07-25,NA,5074,NA,"clinical=5069;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Casanare","province",2015-01-04,2015-07-25,NA,14707,NA,"clinical=14677;lab=29;suspicious=1","EpiBulletin",""
"Chik","Colombia","Meta","province",2015-01-04,2015-07-25,NA,17994,NA,"clinical=17839;lab=58;suspicious=97","EpiBulletin",""
"Chik","Colombia","Vichada","province",2015-01-04,2015-07-25,NA,171,NA,"clinical=147;lab=24;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cauca","province",2015-01-04,2015-07-25,NA,3451,NA,"clinical=3308;lab=27;suspicious=116","EpiBulletin",""
"Chik","Colombia","Choco","province",2015-01-04,2015-07-25,NA,818,NA,"clinical=687;lab=13;suspicious=118","EpiBulletin",""
"Chik","Colombia","Narino","province",2015-01-04,2015-07-25,NA,1165,NA,"clinical=1102;lab=30;suspicious=33","EpiBulletin",""
"Chik","Colombia","Valle","province",2015-01-04,2015-07-25,NA,106817,NA,"clinical=106748;lab=69;suspicious=0","EpiBulletin",""
"Chik","Colombia","Atlantico","province",2015-01-04,2015-07-25,NA,1679,NA,"clinical=1679;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Barranquilla","province",2015-01-04,2015-07-25,NA,4772,NA,"clinical=4772;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Bolivar","province",2015-01-04,2015-07-25,NA,508,NA,"clinical=507;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cartagena","province",2015-01-04,2015-07-25,NA,386,NA,"clinical=386;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cesar","province",2015-01-04,2015-07-25,NA,3617,NA,"clinical=3605;lab=12;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cordoba","province",2015-01-04,2015-07-25,NA,12387,NA,"clinical=12382;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Guajira","province",2015-01-04,2015-07-25,NA,4469,NA,"clinical=4461;lab=8;suspicious=0","EpiBulletin",""
"Chik","Colombia","Magdalena","province",2015-01-04,2015-07-25,NA,2029,NA,"clinical=2028;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","San_Andres","province",2015-01-04,2015-07-25,NA,629,NA,"clinical=625;lab=1;suspicious=3","EpiBulletin",""
"Chik","Colombia","Santa_Marta","province",2015-01-04,2015-07-25,NA,1574,NA,"clinical=1570;lab=4;suspicious=0","EpiBulletin",""
"Chik","Colombia","Sucre","province",2015-01-04,2015-07-25,NA,6631,NA,"clinical=6626;lab=5;suspicious=0","EpiBulletin",""
