report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,217,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,101,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,243,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,4057,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,8263,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,201,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,3253,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,6300,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,6275,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,113922,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,1987,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,1586,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,1975,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,485,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,395,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,8638,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,16956,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,811,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,4037,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,1072,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,208,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,69,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,71,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,123,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,3073,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,224,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,118,cases
