"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Norte_Santander","province",452,5383,267,"cases"
NA,"Colombia-Huila","province",153,3271,183,"cases"
NA,"Colombia-Cundinamarca","province",68,2387,428,"cases"
NA,"Colombia-Tolima","province",98,2213,319,"cases"
NA,"Colombia-Barranquilla","province",46,2543,0,"cases"
NA,"Colombia-Cordoba","province",11,1422,561,"cases"
NA,"Colombia-Santa_Marta","province",31,1366,0,"cases"
NA,"Colombia-Atlantico","province",19,1122,170,"cases"
NA,"Colombia-Valle","province",15,711,411,"cases"
NA,"Colombia-Sucre","province",45,834,250,"cases"
NA,"Colombia-San_Andres","province",54,872,3,"cases"
NA,"Colombia-Cartagena","province",59,728,0,"cases"
NA,"Colombia-Cesar","province",17,575,105,"cases"
NA,"Colombia-Magdalena","province",39,214,422,"cases"
NA,"Colombia-Bolivar","province",90,374,158,"cases"
NA,"Colombia-Antioquia","province",84,336,146,"cases"
NA,"Colombia-Santander","province",21,279,175,"cases"
NA,"Colombia-Guajira","province",13,242,103,"cases"
NA,"Colombia-Meta","province",11,177,66,"cases"
NA,"Colombia-Caqueta","province",23,209,17,"cases"
NA,"Colombia-Risaralda","province",33,202,6,"cases"
NA,"Colombia-Casanare","province",13,188,32,"cases"
NA,"Colombia-Caldas","province",19,65,38,"cases"
NA,"Colombia-Putumayo","province",32,64,11,"cases"
NA,"Colombia-Arauca","province",10,83,12,"cases"
NA,"Colombia-Boyaca","province",25,46,19,"cases"
NA,"Colombia-Desconocido","province",0,0,63,"cases"
NA,"Colombia-Amazonas","province",3,31,12,"cases"
NA,"Colombia-Quindio","province",0,0,43,"cases"
NA,"Colombia-Exterior","province",2,0,36,"cases"
NA,"Colombia-Cauca","province",5,8,11,"cases"
NA,"Colombia-Narino","province",10,1,4,"cases"
NA,"Colombia-Choco","province",0,0,10,"cases"
NA,"Colombia-Buenaventura","province",0,0,9,"cases"
NA,"Colombia-Vichada","province",2,4,3,"cases"
NA,"Colombia-Guaviare","province",1,0,5,"cases"
NA,"Colombia-Guainia","province",0,0,2,"cases"
NA,"Colombia-Vaupes","province",0,0,1,"cases"
