"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",0,631,3,"cases"
NA,"Colombia-Santander","province",0,108,10,"cases"
NA,"Colombia-Tolima","province",1,66,9,"cases"
NA,"Colombia-Cundinamarca","province",0,36,5,"cases"
NA,"Colombia-Meta","province",0,38,0,"cases"
NA,"Colombia-Antioquia","province",0,33,2,"cases"
NA,"Colombia-Huila","province",0,31,4,"cases"
NA,"Colombia-Norte_Santander","province",1,24,9,"cases"
NA,"Colombia-Casanare","province",0,30,2,"cases"
NA,"Colombia-Risaralda","province",1,21,2,"cases"
NA,"Colombia-Cesar","province",0,18,2,"cases"
NA,"Colombia-Sucre","province",0,17,1,"cases"
NA,"Colombia-Barranquilla","province",0,16,0,"cases"
NA,"Colombia-Atlantico","province",0,14,2,"cases"
NA,"Colombia-Amazonas","province",0,15,0,"cases"
NA,"Colombia-Exterior","province",0,0,12,"cases"
NA,"Colombia-Desconocido","province",0,0,11,"cases"
NA,"Colombia-Cartagena","province",0,11,0,"cases"
NA,"Colombia-Arauca","province",0,10,0,"cases"
NA,"Colombia-Santa_Marta","province",0,9,0,"cases"
NA,"Colombia-Cauca","province",0,4,4,"cases"
NA,"Colombia-Caldas","province",0,7,1,"cases"
NA,"Colombia-Narino","province",0,3,5,"cases"
NA,"Colombia-Boyaca","province",0,6,1,"cases"
NA,"Colombia-Bolivar","province",0,5,2,"cases"
NA,"Colombia-Cordoba","province",0,4,2,"cases"
NA,"Colombia-Putumayo","province",0,5,0,"cases"
NA,"Colombia-Guajira","province",0,2,2,"cases"
NA,"Colombia-Quindio","province",0,3,1,"cases"
NA,"Colombia-Magdalena","province",0,2,1,"cases"
NA,"Colombia-Vaupes","province",0,0,3,"cases"
NA,"Colombia-Caqueta","province",0,2,0,"cases"
NA,"Colombia-San_Andres","province",0,0,2,"cases"
NA,"Colombia-Guaviare","province",0,2,0,"cases"
NA,"Colombia-Vichada","province",0,0,2,"cases"
NA,"Colombia-Buenaventura","province",0,1,0,"cases"
NA,"Colombia-Guainia","province",0,0,1,"cases"
NA,"Colombia-Choco","province",0,0,0,"cases"
