"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",16,883,NA,"cases"
NA,"Colombia-Santander","province",14,124,NA,"cases"
NA,"Colombia-Tolima","province",7,87,NA,"cases"
NA,"Colombia-Meta","province",4,53,NA,"cases"
NA,"Colombia-Casanare","province",6,51,NA,"cases"
NA,"Colombia-Cundinamarca","province",3,52,NA,"cases"
NA,"Colombia-Huila","province",9,38,NA,"cases"
NA,"Colombia-Antioquia","province",1,46,NA,"cases"
NA,"Colombia-Norte_Santander","province",8,27,NA,"cases"
NA,"Colombia-Cesar","province",0,32,NA,"cases"
NA,"Colombia-Barranquilla","province",8,18,NA,"cases"
NA,"Colombia-Risaralda","province",3,25,NA,"cases"
NA,"Colombia-Atlantico","province",13,13,NA,"cases"
NA,"Colombia-Sucre","province",0,24,NA,"cases"
NA,"Colombia-Putumayo","province",1,25,NA,"cases"
NA,"Colombia-Cartagena","province",3,19,NA,"cases"
NA,"Colombia-Caldas","province",3,17,NA,"cases"
NA,"Colombia-Amazonas","province",0,15,NA,"cases"
NA,"Colombia-Santa_Marta","province",0,14,NA,"cases"
NA,"Colombia-Cordoba","province",5,9,NA,"cases"
NA,"Colombia-Arauca","province",1,13,NA,"cases"
NA,"Colombia-Caqueta","province",2,11,NA,"cases"
NA,"Colombia-Cauca","province",5,6,NA,"cases"
NA,"Colombia-Bolivar","province",4,5,NA,"cases"
NA,"Colombia-Guajira","province",1,8,NA,"cases"
NA,"Colombia-Boyaca","province",2,4,NA,"cases"
NA,"Colombia-Vaupes","province",1,5,NA,"cases"
NA,"Colombia-Narino","province",3,3,NA,"cases"
NA,"Colombia-Guaviare","province",0,5,NA,"cases"
NA,"Colombia-Magdalena","province",1,3,NA,"cases"
NA,"Colombia-Quindio","province",0,2,NA,"cases"
NA,"Colombia-Exterior","province",2,0,NA,"cases"
NA,"Colombia-Choco","province",0,1,NA,"cases"
NA,"Colombia-Buenaventura","province",0,1,NA,"cases"
