"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",164,14408,764,"cases"
NA,"Colombia-Norte_Santander","province",959,7978,421,"cases"
NA,"Colombia-Huila","province",476,5691,192,"cases"
NA,"Colombia-Tolima","province",226,5463,440,"cases"
NA,"Colombia-Santander","province",70,4654,373,"cases"
NA,"Colombia-Cundinamarca","province",201,4242,332,"cases"
NA,"Colombia-Barranquilla","province",98,4233,0,"cases"
NA,"Colombia-Cordoba","province",172,2414,522,"cases"
NA,"Colombia-Meta","province",44,2200,406,"cases"
NA,"Colombia-Antioquia","province",139,1512,364,"cases"
NA,"Colombia-Atlantico","province",48,1649,242,"cases"
NA,"Colombia-Casanare","province",39,1858,22,"cases"
NA,"Colombia-Santa_Marta","province",133,1743,0,"cases"
NA,"Colombia-Sucre","province",79,1300,182,"cases"
NA,"Colombia-Cesar","province",137,1069,185,"cases"
NA,"Colombia-Magdalena","province",83,748,343,"cases"
NA,"Colombia-Arauca","province",41,1092,22,"cases"
NA,"Colombia-San_Andres","province",61,1011,15,"cases"
NA,"Colombia-Caqueta","province",43,949,43,"cases"
NA,"Colombia-Cartagena","province",81,859,0,"cases"
NA,"Colombia-Risaralda","province",64,833,2,"cases"
NA,"Colombia-Bolivar","province",112,583,129,"cases"
NA,"Colombia-Guajira","province",45,433,192,"cases"
NA,"Colombia-Putumayo","province",52,350,7,"cases"
NA,"Colombia-Buenaventura","province",2,388,0,"cases"
NA,"Colombia-Amazonas","province",9,244,32,"cases"
NA,"Colombia-Boyaca","province",51,177,47,"cases"
NA,"Colombia-Quindio","province",6,193,73,"cases"
NA,"Colombia-Caldas","province",43,136,38,"cases"
NA,"Colombia-Cauca","province",12,107,43,"cases"
NA,"Colombia-Desconocido","province",23,0,99,"cases"
NA,"Colombia-Guaviare","province",3,84,14,"cases"
NA,"Colombia-Exterior","province",11,0,73,"cases"
NA,"Colombia-Narino","province",16,16,17,"cases"
NA,"Colombia-Vichada","province",4,10,23,"cases"
NA,"Colombia-Choco","province",4,7,24,"cases"
NA,"Colombia-Vaupes","province",0,0,10,"cases"
NA,"Colombia-Guainia","province",0,0,9,"cases"
