"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",16,937,NA,"cases"
NA,"Colombia-Santander","province",14,138,NA,"cases"
NA,"Colombia-Tolima","province",7,96,NA,"cases"
NA,"Colombia-Meta","province",4,57,NA,"cases"
NA,"Colombia-Casanare","province",6,53,NA,"cases"
NA,"Colombia-Cundinamarca","province",3,55,NA,"cases"
NA,"Colombia-Huila","province",9,41,NA,"cases"
NA,"Colombia-Antioquia","province",1,46,NA,"cases"
NA,"Colombia-Norte_Santander","province",8,39,NA,"cases"
NA,"Colombia-Cesar","province",0,33,NA,"cases"
NA,"Colombia-Putumayo","province",1,32,NA,"cases"
NA,"Colombia-Barranquilla","province",8,22,NA,"cases"
NA,"Colombia-Risaralda","province",3,26,NA,"cases"
NA,"Colombia-Atlantico","province",13,14,NA,"cases"
NA,"Colombia-Sucre","province",1,26,NA,"cases"
NA,"Colombia-Cartagena","province",2,23,NA,"cases"
NA,"Colombia-Caldas","province",3,17,NA,"cases"
NA,"Colombia-Amazonas","province",0,20,NA,"cases"
NA,"Colombia-Cordoba","province",5,11,NA,"cases"
NA,"Colombia-Santa_Marta","province",0,14,NA,"cases"
NA,"Colombia-Arauca","province",1,13,NA,"cases"
NA,"Colombia-Caqueta","province",2,12,NA,"cases"
NA,"Colombia-Cauca","province",4,7,NA,"cases"
NA,"Colombia-Guajira","province",1,8,NA,"cases"
NA,"Colombia-Bolivar","province",4,4,NA,"cases"
NA,"Colombia-Narino","province",3,5,NA,"cases"
NA,"Colombia-Boyaca","province",2,5,NA,"cases"
NA,"Colombia-Vaupes","province",1,6,NA,"cases"
NA,"Colombia-Guaviare","province",0,7,NA,"cases"
NA,"Colombia-Magdalena","province",1,4,NA,"cases"
NA,"Colombia-Quindio","province",1,2,NA,"cases"
NA,"Colombia-Exterior","province",2,0,NA,"cases"
NA,"Colombia-Choco","province",0,1,NA,"cases"
NA,"Colombia-Buenaventura","province",0,1,NA,"cases"
