"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Norte_Santander","province",455,6171,359,"cases"
NA,"Colombia-Huila","province",160,3734,285,"cases"
NA,"Colombia-Cundinamarca","province",70,2542,554,"cases"
NA,"Colombia-Barranquilla","province",50,2742,0,"cases"
NA,"Colombia-Tolima","province",100,2366,323,"cases"
NA,"Colombia-Cordoba","province",72,1764,515,"cases"
NA,"Colombia-Valle","province",18,1199,775,"cases"
NA,"Colombia-Santa_Marta","province",33,1507,0,"cases"
NA,"Colombia-Atlantico","province",19,1242,190,"cases"
NA,"Colombia-Sucre","province",45,906,302,"cases"
NA,"Colombia-San_Andres","province",54,914,3,"cases"
NA,"Colombia-Cesar","province",17,696,162,"cases"
NA,"Colombia-Antioquia","province",96,568,202,"cases"
NA,"Colombia-Cartagena","province",61,779,0,"cases"
NA,"Colombia-Magdalena","province",41,236,496,"cases"
NA,"Colombia-Santander","province",22,481,243,"cases"
NA,"Colombia-Bolivar","province",90,400,177,"cases"
NA,"Colombia-Guajira","province",14,277,147,"cases"
NA,"Colombia-Meta","province",11,306,116,"cases"
NA,"Colombia-Caqueta","province",24,313,25,"cases"
NA,"Colombia-Casanare","province",14,301,43,"cases"
NA,"Colombia-Risaralda","province",33,259,7,"cases"
NA,"Colombia-Putumayo","province",31,109,21,"cases"
NA,"Colombia-Arauca","province",10,123,18,"cases"
NA,"Colombia-Caldas","province",19,68,43,"cases"
NA,"Colombia-Boyaca","province",25,61,25,"cases"
NA,"Colombia-Desconocido","province",0,0,62,"cases"
NA,"Colombia-Amazonas","province",4,37,15,"cases"
NA,"Colombia-Quindio","province",0,0,54,"cases"
NA,"Colombia-Exterior","province",2,0,41,"cases"
NA,"Colombia-Cauca","province",6,17,13,"cases"
NA,"Colombia-Buenaventura","province",1,25,0,"cases"
NA,"Colombia-Narino","province",11,1,6,"cases"
NA,"Colombia-Choco","province",1,0,14,"cases"
NA,"Colombia-Vichada","province",2,3,5,"cases"
NA,"Colombia-Guaviare","province",1,1,5,"cases"
NA,"Colombia-Guainia","province",0,0,3,"cases"
NA,"Colombia-Vaupes","province",0,0,2,"cases"
