"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",16,934,NA,"cases"
NA,"Colombia-Santander","province",15,142,NA,"cases"
NA,"Colombia-Tolima","province",7,94,NA,"cases"
NA,"Colombia-Meta","province",4,58,NA,"cases"
NA,"Colombia-Casanare","province",6,53,NA,"cases"
NA,"Colombia-Cundinamarca","province",3,54,NA,"cases"
NA,"Colombia-Huila","province",9,41,NA,"cases"
NA,"Colombia-Antioquia","province",1,47,NA,"cases"
NA,"Colombia-Norte_Santander","province",8,36,NA,"cases"
NA,"Colombia-Cesar","province",0,34,NA,"cases"
NA,"Colombia-Barranquilla","province",8,22,NA,"cases"
NA,"Colombia-Risaralda","province",3,25,NA,"cases"
NA,"Colombia-Atlantico","province",13,15,NA,"cases"
NA,"Colombia-Sucre","province",1,26,NA,"cases"
NA,"Colombia-Putumayo","province",1,34,NA,"cases"
NA,"Colombia-Cartagena","province",2,21,NA,"cases"
NA,"Colombia-Caldas","province",3,17,NA,"cases"
NA,"Colombia-Amazonas","province",0,16,NA,"cases"
NA,"Colombia-Santa_Marta","province",0,14,NA,"cases"
NA,"Colombia-Cordoba","province",6,11,NA,"cases"
NA,"Colombia-Arauca","province",1,13,NA,"cases"
NA,"Colombia-Caqueta","province",2,12,NA,"cases"
NA,"Colombia-Cauca","province",4,7,NA,"cases"
NA,"Colombia-Bolivar","province",4,5,NA,"cases"
NA,"Colombia-Guajira","province",1,9,NA,"cases"
NA,"Colombia-Boyaca","province",2,5,NA,"cases"
NA,"Colombia-Vaupes","province",1,6,NA,"cases"
NA,"Colombia-Narino","province",3,5,NA,"cases"
NA,"Colombia-Guaviare","province",0,7,NA,"cases"
NA,"Colombia-Magdalena","province",1,4,NA,"cases"
NA,"Colombia-Quindio","province",1,2,NA,"cases"
NA,"Colombia-Exterior","province",2,0,NA,"cases"
NA,"Colombia-Choco","province",0,1,NA,"cases"
NA,"Colombia-Buenaventura","province",0,1,NA,"cases"
