"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",164,13206,719,"cases"
NA,"Colombia-Norte_Santander","province",959,7913,404,"cases"
NA,"Colombia-Huila","province",477,5640,187,"cases"
NA,"Colombia-Tolima","province",226,5342,424,"cases"
NA,"Colombia-Cundinamarca","province",201,4199,312,"cases"
NA,"Colombia-Santander","province",70,4183,356,"cases"
NA,"Colombia-Barranquilla","province",98,4213,0,"cases"
NA,"Colombia-Cordoba","province",172,2403,524,"cases"
NA,"Colombia-Meta","province",44,2051,370,"cases"
NA,"Colombia-Antioquia","province",139,1479,347,"cases"
NA,"Colombia-Atlantico","province",48,1640,238,"cases"
NA,"Colombia-Santa_Marta","province",133,1743,0,"cases"
NA,"Colombia-Casanare","province",39,1664,19,"cases"
NA,"Colombia-Sucre","province",79,1298,181,"cases"
NA,"Colombia-Cesar","province",137,1061,182,"cases"
NA,"Colombia-Magdalena","province",83,745,335,"cases"
NA,"Colombia-San_Andres","province",61,1010,15,"cases"
NA,"Colombia-Arauca","province",41,995,20,"cases"
NA,"Colombia-Caqueta","province",43,919,40,"cases"
NA,"Colombia-Cartagena","province",81,856,0,"cases"
NA,"Colombia-Risaralda","province",64,776,2,"cases"
NA,"Colombia-Bolivar","province",112,580,128,"cases"
NA,"Colombia-Guajira","province",45,432,190,"cases"
NA,"Colombia-Putumayo","province",52,331,7,"cases"
NA,"Colombia-Buenaventura","province",2,370,0,"cases"
NA,"Colombia-Amazonas","province",9,239,31,"cases"
NA,"Colombia-Boyaca","province",51,165,45,"cases"
NA,"Colombia-Quindio","province",6,175,63,"cases"
NA,"Colombia-Caldas","province",43,135,38,"cases"
NA,"Colombia-Cauca","province",12,98,42,"cases"
NA,"Colombia-Desconocido","province",23,0,96,"cases"
NA,"Colombia-Exterior","province",11,0,72,"cases"
NA,"Colombia-Guaviare","province",3,70,7,"cases"
NA,"Colombia-Narino","province",16,16,16,"cases"
NA,"Colombia-Choco","province",4,7,23,"cases"
NA,"Colombia-Vichada","province",4,9,21,"cases"
NA,"Colombia-Vaupes","province",0,0,9,"cases"
NA,"Colombia-Guainia","province",0,0,9,"cases"
