"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",0,716,NA,"cases"
NA,"Colombia-Santander","province",0,121,NA,"cases"
NA,"Colombia-Tolima","province",1,68,NA,"cases"
NA,"Colombia-Cundinamarca","province",0,42,NA,"cases"
NA,"Colombia-Meta","province",0,41,NA,"cases"
NA,"Colombia-Antioquia","province",0,34,NA,"cases"
NA,"Colombia-Huila","province",0,31,NA,"cases"
NA,"Colombia-Casanare","province",0,29,NA,"cases"
NA,"Colombia-Norte_Santander","province",1,25,NA,"cases"
NA,"Colombia-Barranquilla","province",0,23,NA,"cases"
NA,"Colombia-Cesar","province",0,22,NA,"cases"
NA,"Colombia-Sucre","province",0,21,NA,"cases"
NA,"Colombia-Risaralda","province",1,21,NA,"cases"
NA,"Colombia-Cartagena","province",0,17,NA,"cases"
NA,"Colombia-Atlantico","province",0,16,NA,"cases"
NA,"Colombia-Putumayo","province",0,15,NA,"cases"
NA,"Colombia-Amazonas","province",0,14,NA,"cases"
NA,"Colombia-Arauca","province",0,10,NA,"cases"
NA,"Colombia-Caldas","province",0,8,NA,"cases"
NA,"Colombia-Santa_Marta","province",0,8,NA,"cases"
NA,"Colombia-Boyaca","province",0,7,NA,"cases"
NA,"Colombia-Caqueta","province",0,6,NA,"cases"
NA,"Colombia-Cordoba","province",0,5,NA,"cases"
NA,"Colombia-Cauca","province",0,5,NA,"cases"
NA,"Colombia-Bolivar","province",0,5,NA,"cases"
NA,"Colombia-Quindio","province",0,4,NA,"cases"
NA,"Colombia-Narino","province",0,3,NA,"cases"
NA,"Colombia-Guajira","province",0,2,NA,"cases"
NA,"Colombia-Magdalena","province",0,2,NA,"cases"
NA,"Colombia-Buenaventura","province",0,2,NA,"cases"
NA,"Colombia-Guaviare","province",0,2,NA,"cases"
