"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Norte_Santander","province",641,7000,474,"cases"
NA,"Colombia-Huila","province",214,4347,487,"cases"
NA,"Colombia-Tolima","province",124,3485,443,"cases"
NA,"Colombia-Valle","province",35,3031,787,"cases"
NA,"Colombia-Barranquilla","province",66,3694,0,"cases"
NA,"Colombia-Cundinamarca","province",97,3222,292,"cases"
NA,"Colombia-Cordoba","province",72,2092,604,"cases"
NA,"Colombia-Santa_Marta","province",59,1692,0,"cases"
NA,"Colombia-Atlantico","province",28,1488,187,"cases"
NA,"Colombia-Sucre","province",45,1030,353,"cases"
NA,"Colombia-Antioquia","province",98,913,329,"cases"
NA,"Colombia-Santander","province",31,843,409,"cases"
NA,"Colombia-Cesar","province",41,928,178,"cases"
NA,"Colombia-San_Andres","province",55,972,6,"cases"
NA,"Colombia-Magdalena","province",59,576,325,"cases"
NA,"Colombia-Cartagena","province",63,824,0,"cases"
NA,"Colombia-Meta","province",19,652,140,"cases"
NA,"Colombia-Bolivar","province",96,499,133,"cases"
NA,"Colombia-Guajira","province",17,375,197,"cases"
NA,"Colombia-Casanare","province",18,484,60,"cases"
NA,"Colombia-Caqueta","province",24,483,46,"cases"
NA,"Colombia-Risaralda","province",39,371,1,"cases"
NA,"Colombia-Arauca","province",14,269,1,"cases"
NA,"Colombia-Putumayo","province",35,180,18,"cases"
NA,"Colombia-Caldas","province",23,101,30,"cases"
NA,"Colombia-Boyaca","province",37,79,24,"cases"
NA,"Colombia-Amazonas","province",4,90,17,"cases"
NA,"Colombia-Buenaventura","province",1,100,0,"cases"
NA,"Colombia-Quindio","province",3,54,28,"cases"
NA,"Colombia-Cauca","province",6,37,25,"cases"
NA,"Colombia-Desconocido","province",5,0,57,"cases"
NA,"Colombia-Exterior","province",4,0,51,"cases"
NA,"Colombia-Narino","province",11,4,10,"cases"
NA,"Colombia-Choco","province",2,0,20,"cases"
NA,"Colombia-Guaviare","province",1,5,9,"cases"
NA,"Colombia-Vichada","province",3,4,6,"cases"
NA,"Colombia-Vaupes","province",0,0,6,"cases"
NA,"Colombia-Guainia","province",0,0,4,"cases"
