"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Norte_Santander","province",196,1423,195,"cases"
NA,"Colombia-Cundinamarca","province",37,1573,109,"cases"
NA,"Colombia-Barranquilla","province",6,1200,0,"cases"
NA,"Colombia-Santa_Marta","province",4,901,0,"cases"
NA,"Colombia-Tolima","province",39,583,133,"cases"
NA,"Colombia-Sucre","province",24,495,225,"cases"
NA,"Colombia-Cordoba","province",5,520,152,"cases"
NA,"Colombia-Huila","province",13,582,76,"cases"
NA,"Colombia-Cartagena","province",52,612,0,"cases"
NA,"Colombia-San_Andres","province",51,572,35,"cases"
NA,"Colombia-Bolivar","province",91,323,77,"cases"
NA,"Colombia-Atlantico","province",4,65,399,"cases"
NA,"Colombia-Magdalena","province",0,0,264,"cases"
NA,"Colombia-Cesar","province",6,111,13,"cases"
NA,"Colombia-Antioquia","province",75,28,6,"cases"
NA,"Colombia-Guajira","province",2,23,63,"cases"
NA,"Colombia-Risaralda","province",31,22,2,"cases"
NA,"Colombia-Caldas","province",15,13,16,"cases"
NA,"Colombia-Putumayo","province",24,12,1,"cases"
NA,"Colombia-Santander","province",13,6,13,"cases"
NA,"Colombia-Casanare","province",7,20,5,"cases"
NA,"Colombia-Boyaca","province",23,8,1,"cases"
NA,"Colombia-Caqueta","province",3,20,1,"cases"
NA,"Colombia-Valle","province",5,10,8,"cases"
NA,"Colombia-Bogota","province",0,0,17,"cases"
NA,"Colombia-Arauca","province",7,5,1,"cases"
NA,"Colombia-Meta","province",2,4,3,"cases"
NA,"Colombia-Narino","province",7,1,0,"cases"
NA,"Colombia-Amazonas","province",0,0,6,"cases"
NA,"Colombia-Exterior","province",0,0,5,"cases"
NA,"Colombia-Cauca","province",3,0,1,"cases"
NA,"Colombia-Quindio","province",0,0,3,"cases"
NA,"Colombia-Guainia","province",0,0,2,"cases"
NA,"Colombia-Guaviare","province",1,0,1,"cases"
NA,"Colombia-Choco","province",0,0,1,"cases"
NA,"Colombia-Vaupes","province",0,0,0,"cases"
NA,"Colombia-Vichada","province",0,0,0,"cases"
