"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Norte_Santander","province",440,4391,152,"cases"
NA,"Colombia-Huila","province",101,2520,152,"cases"
NA,"Colombia-Cundinamarca","province",60,2162,369,"cases"
NA,"Colombia-Barranquilla","province",27,2362,0,"cases"
NA,"Colombia-Tolima","province",78,1652,285,"cases"
NA,"Colombia-Cordoba","province",9,1111,485,"cases"
NA,"Colombia-Santa_Marta","province",28,1273,0,"cases"
NA,"Colombia-Atlantico","province",11,975,142,"cases"
NA,"Colombia-Sucre","province",44,790,206,"cases"
NA,"Colombia-San_Andres","province",54,879,3,"cases"
NA,"Colombia-Cartagena","province",57,710,0,"cases"
NA,"Colombia-Bolivar","province",90,368,132,"cases"
NA,"Colombia-Magdalena","province",39,198,311,"cases"
NA,"Colombia-Valle","province",12,336,153,"cases"
NA,"Colombia-Cesar","province",15,417,65,"cases"
NA,"Colombia-Antioquia","province",79,244,92,"cases"
NA,"Colombia-Guajira","province",6,171,103,"cases"
NA,"Colombia-Santander","province",18,125,106,"cases"
NA,"Colombia-Risaralda","province",32,124,3,"cases"
NA,"Colombia-Casanare","province",12,118,21,"cases"
NA,"Colombia-Caqueta","province",9,93,34,"cases"
NA,"Colombia-Meta","province",6,97,25,"cases"
NA,"Colombia-Caldas","province",19,54,22,"cases"
NA,"Colombia-Putumayo","province",32,30,8,"cases"
NA,"Colombia-Boyaca","province",22,29,12,"cases"
NA,"Colombia-Arauca","province",10,44,6,"cases"
NA,"Colombia-Desconocido","province",0,0,58,"cases"
NA,"Colombia-Quindio","province",0,0,34,"cases"
NA,"Colombia-Exterior","province",2,0,26,"cases"
NA,"Colombia-Cauca","province",4,1,9,"cases"
NA,"Colombia-Amazonas","province",3,3,6,"cases"
NA,"Colombia-Narino","province",9,1,0,"cases"
NA,"Colombia-Vichada","province",2,3,2,"cases"
NA,"Colombia-Guaviare","province",1,0,4,"cases"
NA,"Colombia-Choco","province",0,0,5,"cases"
NA,"Colombia-Guainia","province",0,0,2,"cases"
NA,"Colombia-Vaupes","province",0,0,0,"cases"
