"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Norte_Santander","province",455,6697,420,"cases"
NA,"Colombia-Huila","province",160,4077,395,"cases"
NA,"Colombia-Tolima","province",100,3110,425,"cases"
NA,"Colombia-Cundinamarca","province",70,2655,672,"cases"
NA,"Colombia-Barranquilla","province",50,3208,0,"cases"
NA,"Colombia-Valle","province",18,1714,1141,"cases"
NA,"Colombia-Cordoba","province",72,1954,567,"cases"
NA,"Colombia-Santa_Marta","province",33,1603,0,"cases"
NA,"Colombia-Atlantico","province",19,1349,222,"cases"
NA,"Colombia-Sucre","province",45,972,334,"cases"
NA,"Colombia-Antioquia","province",96,801,288,"cases"
NA,"Colombia-San_Andres","province",54,968,4,"cases"
NA,"Colombia-Santander","province",22,659,339,"cases"
NA,"Colombia-Cesar","province",17,793,192,"cases"
NA,"Colombia-Magdalena","province",41,241,603,"cases"
NA,"Colombia-Cartagena","province",61,802,0,"cases"
NA,"Colombia-Bolivar","province",90,412,200,"cases"
NA,"Colombia-Meta","province",11,451,184,"cases"
NA,"Colombia-Guajira","province",14,295,169,"cases"
NA,"Colombia-Caqueta","province",24,415,32,"cases"
NA,"Colombia-Casanare","province",14,381,59,"cases"
NA,"Colombia-Risaralda","province",33,324,9,"cases"
NA,"Colombia-Arauca","province",10,175,18,"cases"
NA,"Colombia-Putumayo","province",31,125,24,"cases"
NA,"Colombia-Caldas","province",19,72,50,"cases"
NA,"Colombia-Boyaca","province",25,63,27,"cases"
NA,"Colombia-Amazonas","province",4,66,16,"cases"
NA,"Colombia-Quindio","province",0,0,71,"cases"
NA,"Colombia-Desconocido","province",0,0,60,"cases"
NA,"Colombia-Cauca","province",6,28,17,"cases"
NA,"Colombia-Exterior","province",2,0,47,"cases"
NA,"Colombia-Buenaventura","province",1,45,0,"cases"
NA,"Colombia-Narino","province",11,2,10,"cases"
NA,"Colombia-Choco","province",1,0,16,"cases"
NA,"Colombia-Guaviare","province",1,4,7,"cases"
NA,"Colombia-Vichada","province",2,3,6,"cases"
NA,"Colombia-Guainia","province",0,0,3,"cases"
NA,"Colombia-Vaupes","province",0,0,3,"cases"
