"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",104,8775,682,"cases"
NA,"Colombia-Norte_Santander","province",794,7836,412,"cases"
NA,"Colombia-Huila","province",319,5266,449,"cases"
NA,"Colombia-Tolima","province",214,4778,408,"cases"
NA,"Colombia-Cundinamarca","province",150,3827,389,"cases"
NA,"Colombia-Barranquilla","province",94,4104,0,"cases"
NA,"Colombia-Santander","province",48,2464,538,"cases"
NA,"Colombia-Cordoba","province",151,2363,533,"cases"
NA,"Colombia-Atlantico","province",46,1606,228,"cases"
NA,"Colombia-Santa_Marta","province",132,1728,0,"cases"
NA,"Colombia-Meta","province",32,1527,268,"cases"
NA,"Colombia-Antioquia","province",118,1380,308,"cases"
NA,"Colombia-Sucre","province",48,1097,386,"cases"
NA,"Colombia-Cesar","province",94,1067,171,"cases"
NA,"Colombia-Casanare","province",32,1051,109,"cases"
NA,"Colombia-Magdalena","province",83,732,303,"cases"
NA,"Colombia-San_Andres","province",59,991,13,"cases"
NA,"Colombia-Cartagena","province",79,853,0,"cases"
NA,"Colombia-Caqueta","province",38,781,54,"cases"
NA,"Colombia-Bolivar","province",110,565,131,"cases"
NA,"Colombia-Arauca","province",24,665,10,"cases"
NA,"Colombia-Risaralda","province",50,635,2,"cases"
NA,"Colombia-Guajira","province",44,429,186,"cases"
NA,"Colombia-Putumayo","province",46,239,33,"cases"
NA,"Colombia-Buenaventura","province",2,262,0,"cases"
NA,"Colombia-Amazonas","province",9,211,30,"cases"
NA,"Colombia-Boyaca","province",47,134,36,"cases"
NA,"Colombia-Caldas","province",33,132,40,"cases"
NA,"Colombia-Quindio","province",5,120,48,"cases"
NA,"Colombia-Cauca","province",9,61,38,"cases"
NA,"Colombia-Desconocido","province",15,0,89,"cases"
NA,"Colombia-Exterior","province",9,0,68,"cases"
NA,"Colombia-Narino","province",14,15,17,"cases"
NA,"Colombia-Guaviare","province",3,39,3,"cases"
NA,"Colombia-Choco","province",3,7,23,"cases"
NA,"Colombia-Vichada","province",3,6,9,"cases"
NA,"Colombia-Vaupes","province",0,0,9,"cases"
NA,"Colombia-Guainia","province",0,0,9,"cases"
