Regioes E Unidades Federadas,,,Casos confirmados ,,,
,Total de casos notificados segundo definições (2015/2016) ,Casos notificados em investigação ,"Casos com exame de imagem com alteração típica",Casos com amostra positiva para vírus,Descartados para microcefalia relacionada à infecção congênita,
Brasil,3893,3381,224,6,282,1
Alagoas,158,158,0,0,0,2
Bahia,496,434,35,0,27,3
Ceará,216,208,0,1,7,4
Maranhão,132,117,0,0,15,5
Paraíba,665,604,13,0,48,6
Pernambuco,1306,1077,123,0,106,7
Piauí,77,77,0,0,0,8
Rio Grande do Norte,188,121,52,4,11,9
Sergipe,164,164,0,0,0,
Espírito Santo,46,46,0,0,0,11
Minas Gerais,54,7,0,1,46,12
Rio de Janeiro,122,122,0,0,0,13
São Paulo,18,18,0,0,0,
Acre,Sem registros,--,--,--,--,
Amapá,Sem registros,--,--,--,--,
Amazonas,Sem registros,--,--,--,--,
Pará,6,6,0,0,0,18
Rondônia,Sem registros,--,--,--,--,
Roraima,1,1,0,0,0,20
Tocantins,82,70,0,0,12,
Distrito Federal,14,5,0,0,9,22
Goiás,9,9,0,0,0,23
Mato Grosso,134,134,0,0,0,24
Mato Grosso do Sul,4,3,0,0,1,
Paraná,Sem registros,--,--,--,--,
Santa Catarina,Sem registros,--,--,--,--,
Rio Grande do Sul,1,0,1,0,0,
