Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados,
Brasil,10276,100,3113,2189,4974,1
Alagoas,358,3.5,51,85,222,2
Bahia,1403,13.7,686,349,368,3
Ceará,617,6,134,150,333,4
Maranhão,322,3.1,78,159,85,5
Paraíba,926,9,178,189,559,6
Pernambuco,2187,21.3,337,395,1455,7
Piauí,193,1.9,9,99,85,8
Rio Grande do Norte,480,4.7,134,142,204,9
Sergipe,269,2.6,56,128,85,
Espírito Santo,251,2.4,93,39,119,11
Minas Gerais,208,2,129,12,67,12
Rio de Janeiro,820,8,398,155,267,13
São Paulo,815,7.9,338,55,422,
Acre,54,0.5,20,2,32,15
Amapá,16,0.2,2,9,5,16
Amazonas,51,0.5,16,22,13,17
Pará,111,1.1,91,9,11,18
Rondônia,39,0.4,21,7,11,19
Roraima,32,0.3,5,12,15,20
Tocantins,222,2.2,87,19,116,
Distrito Federal,63,0.6,3,12,48,22
Goiás,219,2.1,64,39,116,23
Mato Grosso,338,3.3,133,49,156,24
Mato Grosso do Sul,54,0.5,9,25,20,
Paraná,49,0.5,4,5,40,26
Santa Catarina,16,0.2,1,6,9,27
Rio Grande do Sul,163,1.6,36,16,111,
