Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,8165,100,3061,1638,3466
Alagoas,323,4,68,75,180
Bahia,1159,14.2,651,263,245
Ceará,517,6.3,179,124,214
Maranhão,273,3.3,80,131,62
Paraíba,888,10.9,270,147,471
Pernambuco,2014,24.7,481,366,1167
Piauí,173,2.1,13,87,73
Rio Grande do Norte,435,5.3,258,113,64
Sergipe,238,2.9,73,111,54
Espírito Santo,160,2,85,13,62
Minas Gerais,118,1.4,60,3,55
Rio de Janeiro,520,6.4,279,80,161
São Paulo,438,5.4,254,10,174
Acre,40,0.5,11,2,27
Amapá,11,0.1,1,7,3
Amazonas,25,0.3,12,8,5
Pará,43,0.5,42,1,0
Rondônia,17,0.2,5,5,7
Roraima,26,0.3,5,10,11
Tocantins,160,2,55,17,88
Distrito Federal,46,0.6,5,5,36
Goiás,142,1.7,49,14,79
Mato Grosso,240,2.9,89,31,120
Mato Grosso do Sul,20,0.2,2,4,14
Paraná,37,0.5,3,4,30
Santa Catarina,7,0.1,1,1,5
Rio Grande do Sul,95,1.2,30,6,59
