Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9514,100,3030,1949,4535
Alagoas,345,3.6,55,84,206
Bahia,1309,13.8,655,312,342
Ceará,575,6,160,137,278
Maranhão,303,3.2,97,138,68
Paraíba,902,9.5,191,166,545
Pernambuco,2138,22.5,362,386,1390
Piauí,188,2,7,99,82
Rio Grande do Norte,460,4.8,128,138,194
Sergipe,261,2.7,60,123,78
Espírito Santo,223,2.3,126,23,74
Minas Gerais,166,1.7,92,8,66
Rio de Janeiro,735,7.7,360,130,245
São Paulo,679,7.1,310,26,343
Acre,49,0.5,17,2,30
Amapá,16,0.2,3,9,4
Amazonas,37,0.4,11,15,11
Pará,97,1,86,1,10
Rondônia,25,0.3,7,7,11
Roraima,30,0.3,7,10,13
Tocantins,197,2.1,71,18,108
Distrito Federal,55,0.6,3,8,44
Goiás,178,1.9,43,24,111
Mato Grosso,308,3.2,127,47,134
Mato Grosso do Sul,44,0.5,5,20,19
Paraná,48,0.5,5,4,39
Santa Catarina,13,0.1,1,4,8
Rio Grande do Sul,133,1.4,41,10,82
