Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,10119,100,3086,2143,4890
Alagoas,355,3.5,51,84,220
Bahia,1384,13.7,692,339,353
Ceará,603,6,124,150,329
Maranhão,321,3.2,77,159,85
Paraíba,922,9.1,177,186,559
Pernambuco,2175,21.5,349,393,1433
Piauí,191,1.9,8,100,83
Rio Grande do Norte,478,4.7,135,141,202
Sergipe,269,2.7,57,128,84
Espírito Santo,246,2.4,105,31,110
Minas Gerais,196,1.9,116,12,68
Rio de Janeiro,801,7.9,388,149,264
São Paulo,779,7.7,313,52,414
Acre,53,0.5,19,2,32
Amapá,16,0.2,3,9,4
Amazonas,49,0.5,14,22,13
Pará,110,1.1,90,9,11
Rondônia,39,0.4,21,7,11
Roraima,31,0.3,4,13,14
Tocantins,220,2.2,85,19,116
Distrito Federal,61,0.6,6,10,45
Goiás,214,2.1,67,34,113
Mato Grosso,335,3.3,131,48,156
Mato Grosso do Sul,53,0.5,9,24,20
Paraná,49,0.5,5,4,40
Santa Catarina,15,0.1,0,6,9
Rio Grande do Sul,154,1.5,40,12,102
