Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,8451,100,3142,1687,3622
Alagoas,327,3.9,68,77,182
Bahia,1187,14,665,268,254
Ceará,525,6.2,173,127,225
Maranhão,289,3.4,96,131,62
Paraíba,891,10.5,258,148,485
Pernambuco,2048,24.2,507,369,1172
Piauí,176,2.1,13,89,74
Rio Grande do Norte,445,5.3,199,123,123
Sergipe,246,2.9,77,114,55
Espírito Santo,167,2,84,19,64
Minas Gerais,127,1.5,64,3,60
Rio de Janeiro,564,6.7,302,87,175
São Paulo,510,6,318,10,182
Acre,41,0.5,9,2,30
Amapá,12,0.1,1,7,4
Amazonas,25,0.3,12,8,5
Pará,46,0.5,45,1,0
Rondônia,19,0.2,6,6,7
Roraima,26,0.3,5,10,11
Tocantins,166,2,61,17,88
Distrito Federal,47,0.6,2,6,39
Goiás,148,1.8,47,14,87
Mato Grosso,249,2.9,88,35,126
Mato Grosso do Sul,26,0.3,7,5,14
Paraná,37,0.4,2,4,31
Santa Catarina,8,0.1,2,1,5
Rio Grande do Sul,99,1.2,31,6,62
