Regioes E Unidades Federadas,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,,
,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados,Total acumulado de casos notificados de 2015 a 2016
Brasil,3670,404,709,4783
Alagoas,104,15,66,185
Bahia,508,99,46,653
Ceará,234,7,10,251
Maranhão,132,0,16,148
Paraíba,460,37,253,750
Pernambuco,1159,153,135,1447
Piauí,66,27,10,103
Rio Grande do Norte,154,63,15,232
Sergipe,178,0,0,178
Espírito Santo,52,0,0,52
Minas Gerais,21,0,37,58
Rio de Janeiro,196,2,10,208
São Paulo,101,0,25,126
Acre,20,0,0,20
Amapá,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,Sem registros,Sem registros,Sem registros,Sem registros
Pará,6,0,0,6
Rondônia,1,0,0,1
Roraima,7,0,0,7
Tocantins,84,0,17,101
Distrito Federal,3,0,12,15
Goiás,69,0,0,69
Mato Grosso,111,0,46,157
Mato Grosso do Sul,3,0,1,4
Paraná,1,0,9,10
Santa Catarina,0,0,1,1
Rio Grande do Sul,0,1,0,1
