Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,8039,100,3007,1616,3416
Alagoas,318,4,68,74,176
Bahia,1154,14.4,648,263,243
Ceará,509,6.3,177,123,209
Maranhão,267,3.3,76,130,61
Paraíba,887,11,287,143,457
Pernambuco,2008,25,477,366,1165
Piauí,169,2.1,9,87,73
Rio Grande do Norte,435,5.4,258,113,64
Sergipe,235,2.9,70,111,54
Espírito Santo,157,2,83,13,61
Minas Gerais,117,1.5,59,3,55
Rio de Janeiro,500,6.2,282,72,146
São Paulo,394,4.9,211,10,173
Acre,40,0.5,11,2,27
Amapá,11,0.1,1,7,3
Amazonas,24,0.3,12,7,5
Pará,44,0.5,43,1,0
Rondônia,17,0.2,5,5,7
Roraima,26,0.3,5,10,11
Tocantins,155,1.9,53,17,85
Distrito Federal,46,0.6,5,5,36
Goiás,140,1.7,47,14,79
Mato Grosso,231,2.9,85,27,119
Mato Grosso do Sul,19,0.2,2,3,14
Paraná,37,0.5,3,4,30
Santa Catarina,7,0.1,1,1,5
Rio Grande do Sul,92,1.1,29,5,58
