Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9172,100,2971,1857,4344
Alagoas,338,3.7,52,82,204
Bahia,1246,13.6,633,296,317
Ceará,561,6.1,158,136,267
Maranhão,304,3.3,98,138,68
Paraíba,900,9.8,198,163,539
Pernambuco,2112,23,371,378,1363
Piauí,184,2,13,93,78
Rio Grande do Norte,455,5,131,137,187
Sergipe,256,2.8,61,121,74
Espírito Santo,214,2.3,121,22,71
Minas Gerais,151,1.6,81,6,64
Rio de Janeiro,690,7.5,344,118,228
São Paulo,620,6.8,294,14,312
Acre,48,0.5,16,2,30
Amapá,13,0.1,0,9,4
Amazonas,31,0.3,14,9,8
Pará,75,0.8,74,1,0
Rondônia,24,0.3,6,7,11
Roraima,29,0.3,6,10,13
Tocantins,191,2.1,84,17,90
Distrito Federal,54,0.6,6,7,41
Goiás,170,1.9,49,17,104
Mato Grosso,293,3.2,114,45,134
Mato Grosso do Sul,39,0.4,10,12,17
Paraná,45,0.5,2,4,39
Santa Catarina,13,0.1,1,4,8
Rio Grande do Sul,116,1.3,34,9,73
