Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7723,100,3162,1489,3072
Alagoas,300,3.9,63,72,165
Bahia,1107,14.3,647,249,211
Ceará,490,6.3,186,110,194
Maranhão,261,3.4,80,126,55
Paraíba,882,11.4,311,129,442
Pernambuco,1982,25.7,491,358,1133
Piauí,167,2.2,11,85,71
Rio Grande do Norte,428,5.5,253,113,62
Sergipe,234,3,114,77,43
Espírito Santo,149,1.9,88,12,49
Minas Gerais,112,1.5,54,3,55
Rio de Janeiro,455,5.9,275,64,116
São Paulo,329,4.3,198,8,123
Acre,38,0.5,21,0,17
Amapá,11,0.1,2,8,1
Amazonas,20,0.3,11,4,5
Pará,30,0.4,29,1,0
Rondônia,15,0.2,4,4,7
Roraima,24,0.3,9,8,7
Tocantins,137,1.8,93,11,33
Distrito Federal,44,0.6,4,5,35
Goiás,136,1.8,63,14,59
Mato Grosso,227,2.9,118,16,93
Mato Grosso do Sul,18,0.2,2,2,14
Paraná,37,0.5,6,4,27
Santa Catarina,7,0.1,1,1,5
Rio Grande do Sul,83,1.1,28,5,50
