Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7534,100,3332,1384,2818
Alagoas,289,3.8,75,65,149
Bahia,1098,14.6,650,243,205
Ceará,481,6.4,220,97,164
Maranhão,252,3.3,90,117,45
Paraíba,881,11.7,338,125,418
Pernambuco,1947,25.8,555,354,1038
Piauí,163,2.2,23,76,64
Rio Grande do Norte,422,5.6,266,106,50
Sergipe,231,3.1,142,50,39
Espírito Santo,142,1.9,86,11,45
Minas Gerais,106,1.4,48,3,55
Rio de Janeiro,445,5.9,282,55,108
São Paulo,279,3.7,164,8,107
Acre,38,0.5,21,0,17
Amapá,9,0.1,2,6,1
Amazonas,19,0.3,10,4,5
Pará,29,0.4,28,1,0
Rondônia,14,0.2,3,4,7
Roraima,24,0.3,9,8,7
Tocantins,136,1.8,103,5,28
Distrito Federal,41,0.5,3,5,33
Goiás,134,1.8,68,14,52
Mato Grosso,216,2.9,112,15,89
Mato Grosso do Sul,18,0.2,2,2,14
Paraná,37,0.5,6,4,27
Santa Catarina,5,0.1,0,1,4
Rio Grande do Sul,78,1,26,5,47
