Regioes E Unidades Federadas,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,,
,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados,Total acumulado de casos notificados de 2015 a 2016
Brasil,3935,508,837,5280
Alagoas,90,25,89,204
Bahia,583,107,54,744
Ceará,243,24,20,287
Maranhão,159,0,16,175
Paraíba,423,56,287,766
Pernambuco,1203,182,159,1544
Piauí,74,30,12,116
Rio Grande do Norte,228,70,20,318
Sergipe,177,0,8,185
Espírito Santo,58,3,3,64
Minas Gerais,24,0,39,63
Rio de Janeiro,227,2,4,233
São Paulo,111,0,29,140
Acre,22,0,0,22
Amapá,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,Sem registros,Sem registros,Sem registros,Sem registros
Pará,10,1,0,11
Rondônia,1,0,0,1
Roraima,8,0,0,8
Tocantins,88,0,17,105
Distrito Federal,6,0,17,23
Goiás,72,6,2,80
Mato Grosso,122,0,46,168
Mato Grosso do Sul,5,1,5,11
Paraná,1,0,9,10
Santa Catarina,0,0,1,1
Rio Grande do Sul,0,1,0,1
