Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,8703,100,3062,1749,3892
Alagoas,331,3.8,63,79,189
Bahia,1218,14,652,282,284
Ceará,548,6.3,152,136,260
Maranhão,289,3.3,93,134,62
Paraíba,898,10.3,249,155,494
Pernambuco,2074,23.8,398,376,1300
Piauí,178,2,12,92,74
Rio Grande do Norte,449,5.2,191,123,135
Sergipe,250,2.9,76,117,57
Espírito Santo,178,2,88,22,68
Minas Gerais,135,1.6,68,4,63
Rio de Janeiro,599,6.9,317,95,187
São Paulo,565,6.5,365,11,189
Acre,44,0.5,12,2,30
Amapá,13,0.1,2,7,4
Amazonas,26,0.3,13,8,5
Pará,57,0.7,56,1,0
Rondônia,18,0.2,4,5,9
Roraima,27,0.3,4,10,13
Tocantins,168,1.9,63,17,88
Distrito Federal,49,0.6,4,6,39
Goiás,149,1.7,39,15,95
Mato Grosso,256,2.9,92,36,128
Mato Grosso do Sul,29,0.3,10,5,14
Paraná,41,0.5,0,4,37
Santa Catarina,10,0.1,3,1,6
Rio Grande do Sul,104,1.2,36,6,62
