Regioes E Unidades Federadas,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,,
,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados,Total acumulado de casos notificados de 2015 a 2016
Brasil,3448,270,462,4180
Alagoas,158,0,0,158
Bahia,471,35,27,533
Ceará,218,4,7,229
Maranhão,119,0,15,134
Paraíba,497,31,181,709
Pernambuco,1125,138,110,1373
Piauí,91,0,0,91
Rio Grande do Norte,133,60,15,208
Sergipe,172,0,0,172
Espírito Santo,52,0,0,52
Minas Gerais,8,1,39,48
Rio de Janeiro,122,0,0,122
São Paulo,18,0,0,18
Acre,Sem registros,Sem registros,Sem registros,Sem registros
Amapá,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,Sem registros,Sem registros,Sem registros,Sem registros
Pará,6,0,0,6
Rondônia,1,0,0,1
Roraima,5,0,0,5
Tocantins,70,0,12,82
Distrito Federal,5,0,9,14
Goiás,62,0,0,62
Mato Grosso,110,0,37,147
Mato Grosso do Sul,3,0,1,4
Paraná,2,0,8,10
Santa Catarina,0,0,1,1
Rio Grande do Sul,0,1,0,1
