Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7936,100,3047,1581,3308
Alagoas,307,"3,9",61,73,173
Bahia,1135,"14,3",667,254,214
Ceará,505,"6,4",178,122,205
Maranhão,267,"3,4",81,130,56
Paraíba,886,"11,2",297,139,450
Pernambuco,1999,"25,2",474,366,1159
Piauí,169,"2,1",9,87,73
Rio Grande do Norte,434,"5,5",258,113,63
Sergipe,233,"2,9",73,110,50
Espírito Santo,153,"1,9",92,12,49
Minas Gerais,117,"1,5",59,3,55
Rio de Janeiro,491,"6,2",276,70,145
São Paulo,383,"4,8",209,8,166
Acre,38,"0,5",21,0,17
Amapá,11,"0,1",1,7,3
Amazonas,22,"0,3",11,6,5
Pará,41,"0,5",40,1,0
Rondônia,17,"0,2",5,5,7
Roraima,26,"0,3",5,10,11
Tocantins,139,"1,8",48,11,80
Distrito Federal,45,"0,6",4,5,36
Goiás,140,"1,8",59,14,67
Mato Grosso,227,"2,9",86,23,118
Mato Grosso do Sul,18,"0,2",2,2,14
Paraná,37,"0,5",3,4,30
Santa Catarina,7,"0,1",1,1,5
Rio Grande do Sul,89,"1,1",27,5,57
