Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7830,100,3017,1551,3262
Alagoas,303,3.9,60,73,170
Bahia,1119,14.3,655,252,212
Ceará,501,6.4,183,115,203
Maranhão,265,3.4,84,126,55
Paraíba,885,11.3,300,136,449
Pernambuco,1987,25.4,476,363,1148
Piauí,168,2.1,10,85,73
Rio Grande do Norte,431,5.5,255,113,63
Sergipe,233,3,73,110,50
Espírito Santo,149,1.9,88,12,49
Minas Gerais,115,1.5,57,3,55
Rio de Janeiro,469,6,268,66,135
São Paulo,372,4.8,203,8,161
Acre,38,0.5,21,0,17
Amapá,11,0.1,1,7,3
Amazonas,20,0.3,11,4,5
Pará,29,0.4,28,1,0
Rondônia,15,0.2,3,5,7
Roraima,26,0.3,7,8,11
Tocantins,137,1.7,46,10,81
Distrito Federal,45,0.6,4,5,36
Goiás,139,1.8,66,14,59
Mato Grosso,227,2.9,86,23,118
Mato Grosso do Sul,18,0.2,2,2,14
Paraná,37,0.5,3,4,30
Santa Catarina,7,0.1,1,1,5
Rio Grande do Sul,84,1.1,26,5,53
