Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9091,100,2968,1845,4278
Alagoas,337,3.7,59,82,196
Bahia,1246,13.7,643,294,309
Ceará,561,6.2,158,136,267
Maranhão,303,3.3,97,138,68
Paraíba,900,9.9,211,160,529
Pernambuco,2104,23.1,375,378,1351
Piauí,184,2,13,93,78
Rio Grande do Norte,455,5,131,137,187
Sergipe,256,2.8,67,120,69
Espírito Santo,205,2.3,113,22,70
Minas Gerais,150,1.6,81,5,64
Rio de Janeiro,666,7.3,326,117,223
São Paulo,610,6.7,296,13,301
Acre,48,0.5,16,2,30
Amapá,13,0.1,0,9,4
Amazonas,27,0.3,13,8,6
Pará,75,0.8,74,1,0
Rondônia,23,0.3,5,7,11
Roraima,28,0.3,5,10,13
Tocantins,184,2,77,17,90
Distrito Federal,53,0.6,5,7,41
Goiás,167,1.8,47,17,103
Mato Grosso,289,3.2,111,45,133
Mato Grosso do Sul,39,0.4,10,12,17
Paraná,43,0.5,0,4,39
Santa Catarina,12,0.1,0,4,8
Rio Grande do Sul,113,1.2,35,7,71
