Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,9367,100,2990,1911,4466
Alagoas,342,3.7,52,84,206
Bahia,1273,13.6,643,302,328
Ceará,567,6.1,155,137,275
Maranhão,303,3.2,97,138,68
Paraíba,902,9.6,195,163,544
Pernambuco,2127,22.7,361,379,1387
Piauí,188,2,9,97,82
Rio Grande do Norte,458,4.9,130,137,191
Sergipe,258,2.8,58,122,78
Espírito Santo,216,2.3,123,22,71
Minas Gerais,161,1.7,88,7,66
Rio de Janeiro,721,7.7,347,130,244
São Paulo,659,7,302,21,336
Acre,48,0.5,16,2,30
Amapá,15,0.2,2,9,4
Amazonas,37,0.4,16,12,9
Pará,75,0.8,74,1,0
Rondônia,25,0.3,7,7,11
Roraima,30,0.3,7,10,13
Tocantins,194,2.1,85,17,92
Distrito Federal,55,0.6,3,8,44
Goiás,176,1.9,42,24,110
Mato Grosso,302,3.2,121,47,134
Mato Grosso do Sul,44,0.5,10,17,17
Paraná,47,0.5,4,4,39
Santa Catarina,13,0.1,1,4,8
Rio Grande do Sul,131,1.4,42,10,79
