Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,6906,100,4046,1046,1814
Alagoas,255,3.7,72,52,131
Bahia,991,14.3,663,194,134
Ceará,437,6.3,247,76,114
Maranhão,235,3.4,135,66,34
Paraíba,853,12.4,386,103,364
Pernambuco,1846,26.7,1053,303,490
Piauí,150,2.2,31,70,49
Rio Grande do Norte,408,5.9,290,83,35
Sergipe,205,3,157,31,17
Espírito Santo,113,1.6,91,4,18
Minas Gerais,76,1.1,28,2,46
Rio de Janeiro,380,5.5,297,21,62
São Paulo,256,3.7,162,5,0
Acre,33,0.5,30,1,2
Amapá,5,0.07,2,3,0
Amazonas,13,0.2,11,1,1
Pará,24,0.3,23,1,0
Rondônia,12,0.2,5,3,4
Roraima,16,0.2,16,0,0
Tocantins,133,1.9,116,0,17
Distrito Federal,37,0.5,1,4,32
Goiás,121,1.8,82,9,30
Mato Grosso,198,2.9,113,14,71
Mato Grosso do Sul,18,0.3,5,2,11
Paraná,31,0.4,5,1,25
Santa Catarina,3,0.04,0,0,3
Rio Grande do Sul,57,0.8,25,2,30
