Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,10574,"100,0",3144,2289,5141
Alagoas,364,3.4,45,86,233
Bahia,1444,13.7,687,379,378
Ceará,628,5.9,142,150,336
Maranhão,331,3.1,86,160,85
Paraíba,928,8.8,180,189,559
Pernambuco,2241,21.2,309,407,1525
Piauí,201,1.9,12,101,88
Rio Grande do Norte,483,4.6,137,142,204
Sergipe,270,2.6,56,128,86
Espírito Santo,265,2.5,98,45,122
Minas Gerais,225,2.1,139,18,68
Rio de Janeiro,848,8,396,171,281
São Paulo,855,8.1,351,59,445
Acre,55,0.5,17,2,36
Amapá,18,0.2,2,10,6
Amazonas,55,0.5,15,26,14
Pará,116,1.1,95,9,12
Rondônia,40,0.4,21,7,12
Roraima,32,0.3,5,13,14
Tocantins,223,2.1,88,19,116
Distrito Federal,69,0.7,5,13,51
Goiás,238,2.3,70,47,121
Mato Grosso,344,3.3,131,55,158
Mato Grosso do Sul,55,0.5,8,26,21
Paraná,55,0.5,7,5,43
Santa Catarina,16,0.2,1,6,9
Rio Grande do Sul,175,1.7,41,16,118
