Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,6480,100,4268,863,1349
Alagoas,238,3.7,104,35,99
Bahia,942,14.5,622,200,120
Ceará,395,6.1,263,49,83
Maranhão,219,3.4,149,43,27
Paraíba,837,12.9,419,87,331
Pernambuco,1779,27.5,1226,256,297
Piauí,145,2.2,62,56,27
Rio Grande do Norte,393,6.1,277,81,35
Sergipe,201,3.1,162,26,13
Espírito Santo,96,1.5,84,3,9
Minas Gerais,73,1.1,28,1,44
Rio de Janeiro,319,4.9,296,7,16
São Paulo,204,3.1,149,0,55
Acre,27,0.4,27,0,0
Amapá,Sem registros,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,10,0.2,9,0,1
Pará,20,0.3,19,1,0
Rondônia,11,0.2,4,3,4
Roraima,15,0.2,15,0,0
Tocantins,128,2,111,0,17
Distrito Federal,37,0.6,10,2,25
Goiás,117,1.8,90,7,20
Mato Grosso,178,2.7,107,3,68
Mato Grosso do Sul,16,0.2,3,2,11
Paraná,27,0.4,5,0,22
Santa Catarina,2,0,1,0,1
Rio Grande do Sul,51,0.8,26,1,24
