Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7438,100,3433,1326,2679
Alagoas,288,3.9,77,64,147
Bahia,1074,14.4,648,237,189
Ceará,478,6.4,231,90,157
Maranhão,251,3.4,93,116,42
Paraíba,873,11.7,344,119,410
Pernambuco,1930,25.9,582,351,997
Piauí,160,2.2,23,74,63
Rio Grande do Norte,421,5.7,265,106,50
Sergipe,231,3.1,156,33,42
Espírito Santo,137,1.8,91,10,36
Minas Gerais,106,1.4,48,3,55
Rio de Janeiro,434,5.8,295,47,92
São Paulo,274,3.7,163,8,103
Acre,37,0.5,20,0,17
Amapá,9,0.1,4,4,1
Amazonas,18,0.2,10,4,4
Pará,29,0.4,28,1,0
Rondônia,14,0.2,4,4,6
Roraima,24,0.3,10,8,6
Tocantins,136,1.8,110,5,21
Distrito Federal,40,0.5,1,5,34
Goiás,131,1.8,66,14,51
Mato Grosso,214,2.9,121,15,78
Mato Grosso do Sul,18,0.2,2,2,14
Paraná,33,0.4,4,4,25
Santa Catarina,5,0.1,2,0,3
Rio Grande do Sul,73,1,35,2,36
