Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,
,N,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,5640,4107,583,950
Alagoas,212,102,25,85
Bahia,775,582,120,73
Ceará,335,256,33,46
Maranhão,181,151,14,16
Paraíba,790,440,59,291
Pernambuco,1601,1188,209,204
Piauí,127,81,32,14
Rio Grande do Norte,374,275,76,23
Sergipe,188,178,0,10
Espírito Santo,73,62,3,8
Minas Gerais,65,27,0,38
Rio de Janeiro,256,250,2,4
São Paulo,149,119,0,30
Acre,26,26,0,0
Amapá,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,Sem registros,Sem registros,Sem registros,Sem registros
Pará,11,10,1,0
Rondônia,11,10,1,0
Roraima,11,11,0,0
Tocantins,112,95,0,17
Distrito Federal,24,5,0,19
Goiás,88,80,6,2
Mato Grosso,173,123,0,50
Mato Grosso do Sul,11,5,1,5
Paraná,15,2,0,13
Santa Catarina,1,0,0,1
Rio Grande do Sul,31,29,1,1
