Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7228,100,3710,1198,2320
Alagoas,280,3.9,83,57,140
Bahia,1048,14.5,652,221,175
Ceará,456,6.3,238,84,134
Maranhão,242,3.3,101,99,42
Paraíba,864,12,382,112,370
Pernambuco,1883,26.1,733,334,816
Piauí,157,2.2,22,74,61
Rio Grande do Norte,417,5.8,297,86,34
Sergipe,211,2.9,163,31,17
Espírito Santo,131,1.8,100,7,24
Minas Gerais,103,1.4,51,2,50
Rio de Janeiro,415,5.7,288,42,85
São Paulo,269,3.7,161,0,108
Acre,35,0.5,18,0,17
Amapá,7,0.1,2,4,1
Amazonas,17,0.2,9,4,4
Pará,27,0.4,26,1,0
Rondônia,12,0.2,4,3,5
Roraima,22,0.3,22,0,0
Tocantins,138,1.9,118,3,17
Distrito Federal,37,0.5,2,4,31
Goiás,128,1.8,82,9,37
Mato Grosso,205,2.8,116,15,74
Mato Grosso do Sul,18,0.2,2,2,14
Paraná,33,0.5,6,2,25
Santa Catarina,5,0.1,2,0,3
Rio Grande do Sul,68,0.9,30,2,36
