Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,8801,100,3012,1773,4016
Alagoas,331,3.8,58,81,192
Bahia,1.229,14,636,285,308
Ceará,553,6.3,156,136,261
Maranhão,293,3.3,97,134,62
Paraíba,898,10.2,248,155,495
Pernambuco,2.085,23.7,404,376,1305
Piauí,179,2,13,92,74
Rio Grande do Norte,449,5.1,154,131,164
Sergipe,252,2.9,71,120,61
Espírito Santo,183,2.1,93,21,69
Minas Gerais,142,1.6,74,5,63
Rio de Janeiro,608,6.9,319,97,192
São Paulo,577,6.6,337,12,228
Acre,44,0.5,12,2,30
Amapá,13,0.1,2,7,4
Amazonas,26,0.3,13,8,5
Pará,59,0.7,58,1,0
Rondônia,22,0.2,5,5,12
Roraima,27,0.3,4,10,13
Tocantins,174,2,67,17,90
Distrito Federal,50,0.6,5,6,39
Goiás,158,1.8,42,17,99
Mato Grosso,262,3,92,39,131
Mato Grosso do Sul,32,0.4,13,5,14
Paraná,41,0.5,0,4,37
Santa Catarina,10,0.1,3,1,6
Rio Grande do Sul,104,1.2,36,6,62
