Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,
,N,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,5909,4222,641,1046
Alagoas,222,92,30,100
Bahia,817,603,136,78
Ceará,352,271,33,48
Maranhão,192,148,25,19
Paraíba,810,441,63,306
Pernambuco,1672,1232,215,225
Piauí,138,77,46,15
Rio Grande do Norte,383,281,77,25
Sergipe,192,180,0,12
Espírito Santo,80,69,3,8
Minas Gerais,67,28,0,39
Rio de Janeiro,261,255,2,4
São Paulo,166,125,0,41
Acre,24,24,0,0
Amapá,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,7,7,0,0
Pará,16,15,1,0
Rondônia,11,6,2,3
Roraima,13,13,0,0
Tocantins,116,99,0,17
Distrito Federal,26,8,0,18
Goiás,99,79,6,14
Mato Grosso,177,125,0,52
Mato Grosso do Sul,12,6,1,5
Paraná,18,3,0,15
Santa Catarina,1,0,0,1
Rio Grande do Sul,37,35,1,1
