Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,Casos notificados de Microcefalia e/ou Alteracoes do SNC. sugestivos de infeccao congenita. em fetos. abortamentos. natimortos ou recem-nascidos,,
,N,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,6158,4231,745,1182
Alagoas,229,95,30,104
Bahia,863,609,156,98
Ceará,363,252,41,70
Maranhão,201,143,32,26
Paraíba,826,447,71,308
Pernambuco,1722,1214,241,267
Piauí,139,65,50,24
Rio Grande do Norte,383,278,78,27
Sergipe,201,162,26,13
Espírito Santo,90,78,3,9
Minas Gerais,71,27,1,43
Rio de Janeiro,295,289,2,4
São Paulo,181,137,0,44
Acre,26,26,0,0
Amapá,Sem registros,Sem registros,Sem registros,Sem registros
Amazonas,8,8,0,0
Pará,18,17,1,0
Rondônia,11,6,2,3
Roraima,14,14,0,0
Tocantins,125,108,0,17
Distrito Federal,31,11,0,20
Goiás,104,84,6,14
Mato Grosso,178,123,3,52
Mato Grosso do Sul,15,9,1,5
Paraná,19,2,0,17
Santa Catarina,2,1,0,1
Rio Grande do Sul,43,26,1,16
