Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,10342,100,3121,2211,5010
Alagoas,358,"3,5",51,85,222
Bahia,1405,"13,6",684,354,367
Ceará,620,"6,0",136,150,334
Maranhão,322,"3,1",77,160,85
Paraíba,926,"9,0",178,189,559
Pernambuco,2204,"21,3",342,395,1467
Piauí,196,"1,9",10,100,86
Rio Grande do Norte,481,"4,7",135,142,204
Sergipe,269,"2,6",56,128,85
Espírito Santo,256,"2,5",92,43,121
Minas Gerais,208,"2,0",127,13,68
Rio de Janeiro,830,"8,0",396,163,271
São Paulo,820,"7,9",335,55,430
Acre,55,"0,5",21,2,32
Amapá,17,"0,2",2,9,6
Amazonas,51,"0,5",15,23,13
Pará,113,"1,1",92,9,12
Rondônia,40,"0,4",21,7,12
Roraima,32,"0,3",5,12,15
Tocantins,223,"2,2",88,19,116
Distrito Federal,64,"0,6",4,12,48
Goiás,225,"2,2",68,40,117
Mato Grosso do Sul,341,"3,3",135,49,157
Mato Grosso do Sul,55,"0,5",10,25,20
Paraná,49,"0,5",4,5,40
Santa Catarina,16,"0,2",1,6,9
Rio Grande do Sul,166,"1,6",36,16,114
