Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,8301,100,3130,1656,3515
Alagoas,325,3.9,67,77,181
Bahia,1175,14.2,659,265,251
Ceará,521,6.3,175,125,221
Maranhão,282,3.4,89,131,62
Paraíba,889,10.7,262,148,479
Pernambuco,2029,24.4,489,367,1173
Piauí,176,2.1,14,89,73
Rio Grande do Norte,440,5.3,261,113,66
Sergipe,242,2.9,74,114,54
Espírito Santo,160,1.9,85,14,61
Minas Gerais,122,1.5,64,3,55
Rio de Janeiro,537,6.5,286,83,168
São Paulo,479,5.8,290,10,179
Acre,40,0.5,11,2,27
Amapá,11,0.1,1,7,3
Amazonas,25,0.3,12,8,5
Pará,46,0.6,45,1,0
Rondônia,17,0.2,5,5,7
Roraima,26,0.3,5,10,11
Tocantins,164,2,59,17,88
Distrito Federal,47,0.6,2,6,39
Goiás,145,1.7,50,14,81
Mato Grosso,240,2.9,89,31,120
Mato Grosso do Sul,22,0.3,3,5,14
Paraná,37,0.4,2,4,31
Santa Catarina,8,0.1,2,1,5
Rio Grande do Sul,96,1.2,29,6,61
